"time","lambda","mu","p_delta","lambda_p"
0,0.37784,0.0273934,0.460376409867867,0.37784
0.657491797979798,0.432459,0.0272444,0.490593547018089,0.400025286235144
1.3149835959596,0.426393,0.0270729,0.345729925739198,0.403485493790536
1.97247539393939,0.402411,0.026994,0.182174401630452,0.371385631778414
2.62996719191919,0.324136,0.0268921,0.0591279504770232,0.320147110538049
3.28745898989899,0.300918,0.0266403,0.200714809693196,0.286268716101378
3.94495078787879,0.295027,0.0263977,0.24603651225468,0.275782926690093
4.60244258585859,0.292153,0.0260656,-0.157291024440437,0.238980980118721
5.25993438383838,0.132375,0.0258151,-0.99524368144662,0.143914713255431
5.91742618181818,0.100361,0.0256926,-0.183233460919472,0.0908677874818206
6.57491797979798,0.0983389,0.0253476,0.0404797491378742,0.0819691199311419
7.23240977777778,0.0961568,0.0250176,0.046692132742975,0.0799785019964046
7.88990157575758,0.0952477,0.0246372,0.0607445658034029,0.0786487961739646
8.54739337373737,0.0949211,0.0241906,0.0795039555885393,0.0782245296708293
9.20488517171717,0.0963428,0.0239471,0.0887443704137539,0.0785210075508035
9.86237696969697,0.0969923,0.0237696,0.106679577409643,0.0794952759907457
10.5198687676768,0.10061,0.0234974,0.113073915455241,0.081059747974471
11.1773605656566,0.10175,0.0231957,0.0808786720080584,0.0818812488724729
11.8348523636364,0.100921,0.0231013,0.0702015542651001,0.0815546630108206
12.4923441616162,0.100739,0.0230656,0.0712946036110901,0.0809928706105463
13.149835959596,0.100076,0.0228307,0.0743273291532926,0.0805753793267729
13.8073277575758,0.100355,0.0226618,0.0894538781765806,0.0806456499748879
14.4648195555556,0.101628,0.0225865,0.0852747032213525,0.0809912091291853
15.1223113535354,0.101188,0.0225112,0.0822466030938711,0.0811341142441502
15.7798031515152,0.102103,0.0224473,0.0927418810087824,0.081468185970651
16.437294949495,0.102945,0.0223095,0.0749326531713379,0.0815909735919853
17.0947867474747,0.101331,0.0223374,0.0646669957267275,0.0809846965335172
17.7522785454545,0.101036,0.0222012,0.0739800906300758,0.0803812186679141
18.4097703434343,0.100686,0.022178,0.0703108972341963,0.0799508823807205
19.0672621414141,0.0999507,0.022125,0.0553626346032926,0.0790734501281151
19.7247539393939,0.0977336,0.022005,0.0381782415502018,0.0774502110815846
20.3822457373737,0.0951248,0.0219307,0.0226327138289163,0.0751493303015413
21.0397375353535,0.091409,0.0218833,0.0154006774226475,0.0724998311060587
21.6972293333333,0.0886189,0.0218121,0.0323099561670125,0.070274467610408
22.3547211313131,0.087389,0.0218115,0.0461057337135468,0.0688841771146399
23.0122129292929,0.0863813,0.0217481,0.05144453817351,0.0679965450168035
23.6697047272727,0.0858909,0.0216664,0.0493774669401293,0.0672300240986941
24.3271965252525,0.0847044,0.0214063,0.0452902725291148,0.0663784821704656
24.9846883232323,0.0838851,0.0211841,0.052846731695245,0.0656458662779214
25.6421801212121,0.0836174,0.0211565,0.0607711256368245,0.0652708377158196
26.2996719191919,0.0836993,0.0211459,0.0574908544073274,0.0650111950779867
26.9571637171717,0.0830602,0.0210263,0.0527537863505479,0.0645964000785514
27.6146555151515,0.0826857,0.020935,0.043930466810445,0.0639200721765122
28.2721473131313,0.0811226,0.020916,0.028860891054877,0.0627985779797477
28.9296391111111,0.0793419,0.0209108,0.0260435487835216,0.0613838545234392
29.5871309090909,0.0777435,0.0209467,0.0178479159888824,0.0598420825586124
30.2446227070707,0.0753601,0.0209172,0.0109341444020936,0.0581172238025466
30.9021145050505,0.0734319,0.0207573,0.0175302471414162,0.056494841323067
31.5596063030303,0.0719665,0.0207488,0.0179571964711791,0.0551024407948617
32.2170981010101,0.0702843,0.0206019,0.0309911047699908,0.0540237149724989
32.8745898989899,0.070239,0.0206457,0.0371879173922785,0.0533291680137372
33.5320816969697,0.0691385,0.0205162,0.0319992621279693,0.0526879374813647
34.1895734949495,0.0687277,0.0204839,0.0337277456445334,0.0520136521634796
34.8470652929293,0.0678266,0.020274,0.0203278392510758,0.0511809562218285
35.5045570909091,0.0662995,0.0201768,0.018402768453464,0.0501413600618297
36.1620488888889,0.0654099,0.0201423,0.0229756067963458,0.0491954092710256
36.8195406868687,0.0643821,0.0200559,0.024976178696629,0.048399130326737
37.4770324848485,0.0637717,0.0199654,0.0270090048133264,0.0477031562449645
38.1345242828283,0.0629735,0.0199551,0.031501552490087,0.0471376507869985
38.7920160808081,0.062818,0.0197855,0.0368851454988077,0.0467432579128112
39.4495078787879,0.0624657,0.0196414,0.0364450541312138,0.0464399772370305
40.1069996767677,0.062294,0.0194862,0.0409351405573823,0.0462067251915513
40.7644914747475,0.0623123,0.0194393,0.0394949041531508,0.0460283396307503
41.4219832727273,0.0620172,0.0191917,0.0425679943326616,0.0458802304032246
42.0794750707071,0.0622913,0.0190686,0.0457412553383244,0.0458295739853722
42.7369668686869,0.0622235,0.0190497,0.0501693981428836,0.0458932425690818
43.3944586666667,0.0628637,0.0189417,0.0550077429789982,0.0460916248623249
44.0519504646465,0.0631399,0.0187325,0.0540908880898503,0.0463429916376994
44.7094422626263,0.0636677,0.0187522,0.0482240695934592,0.0464868792071068
45.3669340606061,0.0634169,0.0185755,0.0423951275764078,0.0464538639072163
46.0244258585859,0.0634637,0.0184247,0.0477770443800689,0.0464125642514314
46.6819176565657,0.0636454,0.0184453,0.0473639696623708,0.0464464963635022
47.3394094545455,0.0636448,0.0182606,0.0454128766622972,0.0464470181697686
47.9969012525253,0.0636478,0.0181787,0.0534467989716251,0.0465369372077417
48.6543930505051,0.0643125,0.0180721,0.0564083223257914,0.0467895647354299
49.3118848484849,0.0645077,0.0180952,0.0565484753917524,0.0470817263064884
49.9693766464647,0.0651723,0.0179681,0.0486907723423416,0.0472477556104159
50.6268684444445,0.0646351,0.0178385,0.0338757025725111,0.0470692104411237
51.2843602424242,0.0640741,0.0177511,0.0394701073724944,0.0467555796946349
51.941852040404,0.0640577,0.017717,0.0453399262821024,0.046622470553659
52.5993438383838,0.0639898,0.0176781,0.0431421914427762,0.0465497252296471
53.2568356363636,0.063791,0.0176821,0.0405595778120266,0.04640983152082
53.9143274343434,0.0635243,0.0174026,0.0448814776871997,0.0463006148493753
54.5718192323232,0.0636874,0.0174088,0.051780828405434,0.0463602724657328
55.229311030303,0.0639851,0.0174125,0.0508191263837956,0.0465079898253744
55.8868028282828,0.0640447,0.0173935,0.0493988399294895,0.0466185298494497
56.5442946262626,0.0642165,0.0173402,0.0562565204776478,0.046806715632048
57.2017864242424,0.0648368,0.0173412,0.0600138782682699,0.0471512740308315
57.8592782222222,0.0652838,0.0172975,0.0635371991071412,0.04759661314944
58.516770020202,0.0661718,0.0171253,0.0538537264592256,0.047936416941973
59.1742618181818,0.0657021,0.0171345,0.0384688911983973,0.0478835325905014
59.8317536161616,0.0652993,0.0170983,0.0378373593491056,0.0475834260162129
60.4892454141414,0.0648122,0.0170856,0.0348433557210998,0.0472395676791168
61.1467372121212,0.0642013,0.017094,0.0381323274170404,0.0469126062256449
61.804229010101,0.0640545,0.0170372,0.0412699836361849,0.0466931167385937
62.4617208080808,0.0637172,0.0170264,0.0397684910947731,0.0465074354625636
63.1192126060606,0.0634745,0.0170333,0.0424971700790522,0.0463445374700646
63.7767044040404,0.063388,0.0168777,0.0379012536838064,0.0461602251070703
64.4341962020202,0.0627569,0.0168763,0.0359938144309617,0.0458880398823169
65.091688,0.0625721,0.0169372,0.0433889457634478,0.0457055014918104
