"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.19408156832821,0.240565941196708,0.225013585582232,0.244588815804874
2,0.194082291812342,0.240569945687429,0.226276067862216,0.245878171896627
3,0.193888190147834,0.239744519348068,0.225392859391158,0.246031226535967
4,0.194920148424439,0.241965590082525,0.225880336733581,0.245715353926918
5,0.195678838936958,0.242981069827127,0.227496017293373,0.247837200962459
6,0.195694972585874,0.242481026485344,0.226686039372675,0.245265728450051
7,0.195871951376947,0.241955600579728,0.225317800514565,0.246234423462588
8,0.194902878331794,0.240424197773489,0.22500586852652,0.244635784783932
9,0.196137248667658,0.24193225588843,0.226842817250921,0.246365535135947
10,0.19437703556723,0.240694726612873,0.225056119239634,0.245231870098183
11,0.197197487879177,0.243715229699607,0.22752755734125,0.246919711788155
12,0.194030013998142,0.241091929141054,0.226213756677516,0.245070879002813
13,0.193679908301598,0.239492838388685,0.224435372840374,0.243588604019577
14,0.194958186275966,0.241081772442761,0.225363145654443,0.246059303062909
15,0.195126415587173,0.241347144380317,0.224781550278434,0.245281182539472
16,0.193986011259484,0.24035091698778,0.226104972806558,0.248057211165765
17,0.19604211077735,0.24253347124718,0.225594755178498,0.246012971550551
18,0.195097760832074,0.241684128509886,0.226351946329281,0.246057676433745
19,0.192970458142308,0.238609968447872,0.224239988030282,0.243831665924217
20,0.192844844916934,0.23883125088949,0.223138155753598,0.243264900688712
21,0.194925244028559,0.241871623030199,0.227626528888022,0.247107450788111
22,0.194368455184448,0.241652196164279,0.227435544154145,0.247854143198231
23,0.195548898320555,0.243158062492585,0.228768783687972,0.247806322289853
24,0.195386401177959,0.242686608108656,0.226531433496114,0.246660421721018
25,0.194391730982501,0.239405471501263,0.224802574804012,0.24553086234067
26,0.194078568548286,0.241267134119488,0.225824962625368,0.244774505380497
27,0.194055700782376,0.240756976500503,0.226790373588967,0.24635270475174
28,0.193727253076987,0.240585216113383,0.223459447889462,0.241816019753851
29,0.194480800265865,0.240660853843751,0.224672937160905,0.244300304674658
30,0.195478791226318,0.241399838107938,0.227238841242878,0.24589703901989
31,0.193242461253202,0.239336066546392,0.223177649550666,0.243973054014548
32,0.193711567004877,0.240078640880161,0.224449411472225,0.243666226293467
33,0.194154133437975,0.240277798835804,0.22407014147866,0.244782997665438
34,0.195853858412595,0.241804931941944,0.224748687538396,0.245791251253816
35,0.19446959990676,0.240676981685155,0.224901164616709,0.245039253266635
36,0.196193644993692,0.242294234091263,0.227148941579763,0.246140966439562
37,0.194327506896761,0.24073149247554,0.225687300527792,0.245196036252574
38,0.194705601431904,0.241342227352596,0.225997810611927,0.244854198130038
39,0.195206703897197,0.242744180403844,0.226674428980339,0.247091823385246
40,0.194893282951993,0.241326872752789,0.22625448508685,0.247116304775723
41,0.194413822177202,0.24076032597694,0.225510321824439,0.246759266357653
42,0.194840057813877,0.240367800241825,0.227603727813783,0.24719694615724
43,0.195654175584815,0.243011949512093,0.228332705046758,0.24680350726896
44,0.194620473970745,0.241705107709222,0.226937956383743,0.247653535753075
45,0.19614501569069,0.243144925608049,0.227275890794404,0.246427468771559
46,0.19541031340882,0.242243379200914,0.226713384989042,0.247147287930785
47,0.19284055414934,0.240179851407047,0.225649198404769,0.245586366377118
48,0.195166820272362,0.24113383689063,0.224951452081741,0.244583170172621
49,0.193902847973792,0.240488221499449,0.223098955936894,0.241764846331937
50,0.193453812691284,0.240103137633763,0.225830291345333,0.245214472424419
51,0.195841557291279,0.243062763117614,0.226546593768052,0.245958364872073
52,0.194769315159243,0.24100438390777,0.224488927007276,0.245072238206393
53,0.193881216477363,0.240743922866487,0.226383888210293,0.245780191442174
54,0.193878315107496,0.241175224370687,0.227650422770023,0.248761591163487
55,0.195385332207522,0.242780951708522,0.226922867430258,0.246326287118284
56,0.193719444257896,0.239842588878094,0.22317436405233,0.242935044065725
57,0.1949977277696,0.241111983571455,0.225464980899243,0.247672954539239
58,0.196089235329338,0.243687824280824,0.225135062614714,0.246273544831505
59,0.195764823834344,0.243014305318205,0.226073086007152,0.246107116478666
60,0.193385108272484,0.240025031227653,0.224886902004554,0.244689053814176
61,0.194103588081942,0.240224922168738,0.226788751746201,0.245543869553391
62,0.195450306451813,0.242815097556666,0.227508177013695,0.247098811007671
63,0.195146071805205,0.239983879897481,0.222952266583728,0.243180563534595
64,0.19562288241543,0.24185763771492,0.225638462467636,0.24585916077857
65,0.194178853045363,0.240878756353271,0.223565832851593,0.243739095449651
66,0.195902480541148,0.24333172241082,0.226690217913953,0.246733287564222
67,0.194708974658478,0.241367756801585,0.226493479836955,0.245880158678461
68,0.194137982240127,0.240893794002406,0.225346207349753,0.244898961414221
69,0.194979039786843,0.241775915557035,0.226920179067246,0.246971891434816
70,0.195354477395428,0.240653130665179,0.224544268421545,0.243806160921382
71,0.195456548823953,0.242526538135115,0.228772518785174,0.249248004239116
72,0.195404636390668,0.242584325580295,0.22536770162381,0.244911392639541
73,0.195364465679683,0.241474396902115,0.227519645818762,0.247661208784129
74,0.195113215740143,0.241235516728737,0.225724731519332,0.246336178110823
75,0.196482771790463,0.243543904286833,0.227582365037834,0.246637224921003
76,0.194873127926482,0.241814992136703,0.226159875259583,0.24625647440145
77,0.193169543971494,0.239895322571511,0.226388641750487,0.247186613232163
78,0.194990845599354,0.241005349546798,0.225774352905717,0.246283760684671
79,0.194190034887188,0.24075015533701,0.224373182844341,0.243976164330486
80,0.194849336725702,0.242464083451528,0.227185485992683,0.246311726945018
81,0.19491909238461,0.241317875130257,0.22544462639953,0.246118854238848
82,0.194413907745844,0.241451904147193,0.224563184477146,0.244450281083336
83,0.19456205698344,0.242730899118159,0.226621641302886,0.24610434354024
84,0.194233757730167,0.241084381103496,0.226392666364908,0.246159175780518
85,0.194370674911978,0.241679347293323,0.226315862820253,0.245536854754414
86,0.195500970511828,0.24191266294569,0.22707925699914,0.247686996046449
87,0.194762360658887,0.241548011861475,0.226700125167305,0.24585676875276
88,0.194371968507422,0.23995016709018,0.223792157510165,0.244401443363488
89,0.19416438035667,0.239312738748328,0.226109306039867,0.245891172335388
90,0.195323226986904,0.241677234548033,0.227617112571524,0.247215656244793
91,0.195642193695451,0.241818023106008,0.226581444670133,0.247469367420784
92,0.194764130436274,0.240943938068055,0.224650377610926,0.245927769148527
93,0.193974674376109,0.239620267012263,0.225014305785718,0.245068500575476
94,0.196602481293698,0.243599923842688,0.228134679152729,0.247646273935072
95,0.195862720235644,0.243706084657241,0.226037544129189,0.245384892505987
96,0.194447039207898,0.24093842385725,0.225423885426235,0.245109236263278
97,0.194338555871028,0.241405345791546,0.227515617479636,0.248598740304468
98,0.194908358456267,0.241459635399146,0.225878843092189,0.245428825529218
99,0.19538120443572,0.241659884745899,0.226661280997553,0.245864853862397
100,0.195058378262258,0.241193015885792,0.226307180408233,0.24627951725985
101,0.194138903992513,0.24177929957557,0.222543221202624,0.24256914048316
102,0.193584729733618,0.240873582699193,0.226317449178184,0.24728718314445
103,0.196039942546637,0.242667976665031,0.225602937589252,0.244134037750579
104,0.196749520688137,0.243000128986045,0.22757717601317,0.246412424497516
105,0.19429976893397,0.242055366634003,0.226193483004617,0.245341425316189
106,0.194884528563374,0.241878154292665,0.226701956458384,0.245834892307082
107,0.194658653361836,0.240655269754044,0.222983354878748,0.242306712766222
108,0.195081029116031,0.241207897589859,0.228762845322562,0.247076602438966
109,0.194874427750943,0.241502393869644,0.226351181950398,0.247276248810926
110,0.196404407593889,0.243441843222311,0.226246307533831,0.247094723216341
111,0.194106798034566,0.240849055548915,0.2244747108771,0.244234198080451
112,0.196311229408192,0.243297951225186,0.227037360185888,0.246642893856015
113,0.193136757078423,0.238823848495824,0.223771699988091,0.243172631421427
114,0.195170372006063,0.242343962306232,0.227564376810753,0.249098045408071
115,0.195705958587741,0.242328699815106,0.225078821590044,0.244327891082768
116,0.193470845283224,0.240146944479003,0.22664009363808,0.247049053899996
117,0.195242904237122,0.242250609289814,0.228154508694019,0.247333179889938
118,0.196290793473708,0.241337180818787,0.2244432506691,0.243880388027432
119,0.193957809555929,0.240848306080421,0.224743229529328,0.244172795581834
120,0.195574255454198,0.242219231716088,0.226540931542736,0.247044538197154
121,0.193552828422025,0.239595195608712,0.225607755604909,0.245488369687666
122,0.193826677829367,0.240940680793458,0.224580095291987,0.244802093313734
123,0.19595384001187,0.243143701178781,0.22787632276915,0.247153724317733
124,0.194940067470992,0.241221826316633,0.226555452653392,0.246205619243763
125,0.196154455690451,0.243448502846781,0.227509971189239,0.246961362596352
126,0.194345858655215,0.24073352125301,0.224337135370019,0.243493571214995
127,0.194485815060297,0.240362632854565,0.22421301401313,0.245381332410259
128,0.194840926733699,0.24111596055128,0.224563536023399,0.243959972619222
129,0.194399957886762,0.240748133251704,0.225798420370133,0.245323025321029
130,0.196229816501991,0.242890949163618,0.229971999490416,0.249467027450075
131,0.195797140420539,0.242423355757534,0.227322251846743,0.247518321209385
132,0.19454723905465,0.241969284904834,0.226320313144591,0.246769294222931
133,0.192978249580307,0.239237509497769,0.221811242790268,0.240982449680212
134,0.194944520402721,0.241546211190146,0.225190197946932,0.245040569209788
135,0.195162586211323,0.240998153357059,0.22488261081574,0.245626547346835
136,0.19389668988166,0.241241625912551,0.227064196001021,0.248174718443355
137,0.193466742640769,0.240934178116334,0.226135556716266,0.24663391281936
138,0.195845675745245,0.243671105981731,0.225898523414879,0.245755841305307
139,0.195775145821314,0.242591343905931,0.226846997866422,0.245972386436476
140,0.195020367029005,0.241225638339823,0.227033309510489,0.246786729383588
141,0.195009603250792,0.241367106054342,0.228318309402814,0.247825185312817
142,0.194236109407823,0.241552611085953,0.226379972716438,0.245259953946195
143,0.194737692420029,0.24126357107499,0.227294034838299,0.247319568951409
144,0.195542456549575,0.242350835874073,0.226170594999167,0.24559893693948
145,0.194928923299365,0.242326844844523,0.226420553572359,0.24520387906346
