"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.0985329544310085,0.0616014697418109,0.0535674615241358,0.0511976086140131
2,0.101265853559721,0.0625138719800084,0.0543023794989344,0.0532081125651854
3,0.0980493146888961,0.0625795081758107,0.0543384494243784,0.052365279906016
4,0.101808786292848,0.0631057321655237,0.0548863080389197,0.0530410202765537
5,0.0979606948670186,0.0620613559668709,0.0543583154737555,0.0533665231858383
6,0.0998437300675596,0.0642373537547822,0.0553369970015011,0.053111881542172
7,0.100673764314766,0.0635299556698177,0.0542063679634046,0.0522614213268163
8,0.0986456879647853,0.0619752159889465,0.0549833823796631,0.0529664455265384
9,0.0978056593099335,0.0622156446509871,0.0549965712833977,0.0526374424496463
10,0.0992991318553019,0.0625116599043567,0.0539781840641964,0.0520979406446429
11,0.099450981334103,0.0625430211880306,0.0550154680784053,0.0523773349965723
12,0.0982365065332911,0.0627166025388321,0.0544566460709674,0.052336619141531
13,0.100268719059746,0.0630801590848761,0.0542159873807419,0.0526115890403636
14,0.0959021011742065,0.0617782285888082,0.0545678533434803,0.0523187335532038
15,0.101527206356569,0.0635351924903953,0.0550739270607418,0.0540087726522476
16,0.0983036711451424,0.0630894441714415,0.0543552982743267,0.0522326907768313
17,0.0974276166632725,0.0624792385013744,0.0556007146021209,0.0536927072954954
18,0.100896058084143,0.0637141395414478,0.0564130394896002,0.0525480769113582
19,0.0994358106126286,0.0622856805543455,0.0541221873481792,0.0524353272419757
20,0.0983914847667491,0.0608081204715665,0.0540968349029682,0.0528370541157052
21,0.0962362724736942,0.0621352314871696,0.053624927134014,0.0527328928229112
22,0.100138863014052,0.0635414137749625,0.0552010351954288,0.0531994065421056
23,0.0981129513498864,0.0617366447743467,0.0544527143428303,0.053331163864001
24,0.0990856621895299,0.0635244501223233,0.0551203346667685,0.053592377212002
25,0.0970767374412981,0.0625127173972124,0.0550191522381684,0.0528395711837518
26,0.0983245730324961,0.0634978058373856,0.0541217425978008,0.0521820094065953
