"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.0992040533523523,0.0634077467303921,0.0540482626816263,0.0522966236650737
2,0.0992201208798163,0.0619003600725729,0.0547693884227668,0.0535631622959863
3,0.0984747334626008,0.0618560577594115,0.0540479820950942,0.0519841945085852
4,0.0959385877069105,0.0624895938191579,0.0552644746084807,0.053151953275779
5,0.100208028648749,0.0626333592519212,0.0540995087916812,0.05297773392383
6,0.0971705016407576,0.0620371284958072,0.0545586231875936,0.0523420774017478
7,0.101750034609365,0.0634262999696001,0.0541150655973365,0.0522677130954819
8,0.097805465646348,0.0627018578455919,0.0543953097410932,0.0524381823037272
9,0.0982118471642841,0.062662782028823,0.054740767666286,0.0523549492926392
10,0.0991697717639602,0.0637466669533573,0.0554335519568746,0.0533437252040285
11,0.100768929102664,0.0621001531447748,0.0547079839074714,0.0523792777254946
12,0.0965774146694153,0.060278153000328,0.0540728262480318,0.0521459435695363
13,0.0971797950681556,0.0631239077907739,0.0546101365708989,0.0521053542420677
14,0.0996190786532238,0.0633762227715244,0.0556393497542222,0.053231809313591
15,0.0979277201156481,0.062185748281512,0.0541334727485808,0.0520120281335764
16,0.0995298635834348,0.0627017894734679,0.0541218867185255,0.0519642848549569
17,0.0997094058204044,0.0632549930870923,0.0551679535606487,0.0525957727023795
18,0.100575207949003,0.0637464937156621,0.0550611643400447,0.0528767151416492
19,0.0990361613520382,0.0638618653815198,0.0542248572729887,0.0522311658808891
20,0.0979738443082604,0.0631472238124982,0.054575668150335,0.0525612674699783
21,0.0985944354398612,0.061411378978636,0.0543313312591807,0.0525007184917118
22,0.0946890332710855,0.0614387678186217,0.0552495911930189,0.0531696014221882
23,0.0991114947713168,0.0624975630171404,0.0543036976296807,0.0531293623397612
24,0.0992183809913908,0.0629299879723592,0.0543739747948153,0.0523362306443264
25,0.0997474508360345,0.0626285591349694,0.0553891553433199,0.053351286761047
26,0.100007598094602,0.0630248819786999,0.0537033760373259,0.0529241279183801
27,0.0985460084139861,0.062435352062972,0.0544668757316725,0.0526657279681517
28,0.0984267288990433,0.0639711005886438,0.0548380288420123,0.0531639898813538
29,0.0981621058664616,0.0626928884530605,0.054741831610635,0.0521296932949727
30,0.0981907832202111,0.0617273299913877,0.0541548762827179,0.051846215468631
31,0.102111217166635,0.063908471208122,0.0554992867941796,0.0529593836790301
32,0.100420308170544,0.0615999140506128,0.054701820439967,0.0517193051052599
33,0.0961502225370783,0.0613776749546181,0.0538729126971621,0.0525252292312421
34,0.0979555904592922,0.0625918194970928,0.0547831985382034,0.052832878065316
35,0.0993585185185125,0.0621283504158737,0.0552619706085642,0.052989857786292
36,0.0976045458602559,0.0624485338564511,0.0544975720139745,0.0530886705112856
37,0.0989474286360266,0.0615204540967604,0.0537004355653841,0.0530939898476506
38,0.100171317894214,0.0640946695522409,0.0551532775536714,0.0532169843882623
39,0.100346422490781,0.0633714174351483,0.0546629068015648,0.0532695603887801
40,0.0987724665689962,0.0617162443559342,0.0534565855440524,0.0521632376092371
41,0.103360132140593,0.0619311535656948,0.0541439563413329,0.0528739978916928
42,0.0992854776049086,0.0616847019014006,0.0550763522570937,0.0532586392087531
43,0.0968281603102746,0.0619961762063073,0.0551637618095286,0.0528741509865812
44,0.100055782063108,0.0633097288155114,0.0549100233904067,0.0533505135040104
45,0.0995278380507513,0.0626402513930257,0.0542033893375652,0.0519414814456094
46,0.0982073743938508,0.0619583993540166,0.0542222038649393,0.0528408313152752
47,0.102196045740153,0.0625360091191925,0.0539998281937349,0.0533447986444181
48,0.097757175192248,0.061435571237304,0.0549025380482582,0.0525902517710252
49,0.0985575558816754,0.0624276319567827,0.0546523457902458,0.0520011513780825
50,0.100135300841795,0.0633688831083782,0.0543821015071313,0.0522378738060127
51,0.0990898012905455,0.0616596822506283,0.054420025821162,0.0521376709859772
52,0.0981010614516547,0.0626608247306577,0.0537510189913966,0.0532084555085454
53,0.0967918211301823,0.061624191134875,0.0543332954367329,0.05273904589444
54,0.0974277205219962,0.0624530139202676,0.0548010595803967,0.0522568559676283
55,0.0993471824127468,0.0642015693188378,0.055465847849932,0.0534387541219159
56,0.0994512904679121,0.0630196294621521,0.0548965289114196,0.0528785052852347
57,0.0987890552876404,0.0618549998336344,0.0542926588771249,0.0529576253086697
58,0.101531337346794,0.0618679009894277,0.0543177344631871,0.0521507979471519
59,0.099763998089055,0.0644107127845609,0.0551717877173866,0.0529547242713937
60,0.0991615068276533,0.061532777149706,0.0538428073603184,0.0523056099025371
61,0.0981534091048277,0.0618271982987319,0.0538756203095422,0.0524798580337407
62,0.0968389231146561,0.0626004042933254,0.0541820588195034,0.0521995631522521
63,0.0989489771729421,0.0629997844264186,0.0535904798822258,0.0525062752885696
64,0.0985158268454659,0.0627706682232501,0.0558683073331121,0.0534766784873625
