"draw","lambda_at_index_7","lambda_at_index_13","lambda_at_index_19","lambda_at_index_25"
1,0.126321514262999,0.0827192185733619,0.0650805715869705,0.062850797944748
2,0.113768061909754,0.0711217376208891,0.0639561238736901,0.0670050180992343
3,0.120775499599804,0.0800934385706804,0.0653433049382595,0.0622579187761768
4,0.132050905969945,0.0754639941540913,0.0647981123600989,0.0628058426500853
5,0.111633715134675,0.0773459163655906,0.0667255368658437,0.0614177331085995
6,0.10784974918026,0.0755324281599421,0.0657640749972157,0.059442818345623
7,0.115049539553872,0.0715442211854402,0.0656218082422085,0.0618901055359282
8,0.121871254560055,0.0788681964054942,0.0710797748954258,0.0661420801316813
9,0.1062260641503,0.072784049429272,0.0612094748576285,0.061472386223104
10,0.132382997019737,0.0759835018344586,0.0678709348191974,0.0652146047327153
11,0.119200526352393,0.0745695500992689,0.0631276326505712,0.0646753879772922
12,0.130139202767753,0.0771981870689759,0.0641860094933512,0.0625224161590004
13,0.106215774141384,0.069750024503243,0.0625245945081024,0.0603733393329746
14,0.127691808897813,0.0824744177177355,0.0683388885140895,0.0663963557775678
15,0.125203178934735,0.0825758661751792,0.0680533949826241,0.070824953450069
16,0.11392093248566,0.0725550151630475,0.0613460015042439,0.0614065330197911
17,0.121638382013013,0.077622707741182,0.066070286003655,0.0614573405821444
18,0.114185164152859,0.073386056476056,0.0649715945523201,0.0679541735804135
19,0.113574430482773,0.0755726159804425,0.0692477227307263,0.0625387160519832
20,0.119648752239937,0.0712172312002079,0.0582602381892226,0.0595676107560074
21,0.112594894968554,0.0696002483729349,0.0608129036250835,0.0610217775716637
22,0.104323403767581,0.0709035968072445,0.063903610880198,0.0615697687630835
23,0.121448310960877,0.0688090203473396,0.0638062642256106,0.0557451853682652
24,0.127913022597116,0.0711700632261854,0.0614583222630378,0.0623209397036256
25,0.121427319168794,0.080506201340605,0.0676138784527739,0.0635544930924302
26,0.112949301217794,0.0761599743122285,0.0680867818842606,0.0617328326138574
27,0.108286142080878,0.0780535184107863,0.0611085493574803,0.0589634140189455
28,0.117206960029738,0.0726748580006895,0.063206439494328,0.0620637909102936
29,0.118300646675409,0.0695837162494903,0.0635003605552293,0.0606131411309075
30,0.117102466592811,0.079500595953832,0.0649947927460464,0.0604937549337251
31,0.129302215051783,0.079159979799448,0.0656209657477589,0.0670693023558982
32,0.123588864043961,0.0891556551450902,0.0654997006776171,0.0648383753359786
33,0.13543888819409,0.0823893862589191,0.0663662608200747,0.0611521816042251
34,0.116151058861171,0.0783012896580181,0.069845991637611,0.06353924657097
35,0.112875582382697,0.0787720565417054,0.0650283942055565,0.0616471739974868
36,0.1162520350479,0.0707296973917494,0.0667459426279306,0.0607743252560862
37,0.118878946184261,0.0718444188438568,0.0628247067076213,0.0567999259014414
38,0.122374125713792,0.0757367571716923,0.0678476095191973,0.0653455031752668
39,0.12150780132706,0.0813457535878642,0.0686531952147129,0.0643384782322502
40,0.128633847276764,0.075919714402985,0.0686682551742238,0.0646090562044181
41,0.116563309203771,0.080002564918567,0.0637094983871802,0.0611145639582143
42,0.117846651741646,0.0725752224440043,0.0601964295557052,0.0573583541883623
43,0.112526079561183,0.070569413330584,0.0630463846781415,0.0646245754639771
44,0.115717800472518,0.0771894420910228,0.0596625162040352,0.0572588257512159
45,0.12346959766896,0.0785247195294222,0.0657274912231596,0.0635531734658663
46,0.104375120736249,0.0717865641223334,0.0613304886614248,0.0585105653428992
47,0.113609929006947,0.0730096286915693,0.0646335605975676,0.0608141559663332
48,0.124268565840284,0.082848055671499,0.0719815599465954,0.0654843371022557
49,0.115938252966501,0.0714025186029677,0.067350447986437,0.0680067003741516
50,0.109462022687082,0.0716051163595738,0.0592991766455052,0.06009037609896
51,0.116199637627004,0.0799071370065566,0.0634494499418743,0.0659531192964843
52,0.121316523599608,0.0835768709863929,0.0669918285858682,0.0627057299295468
53,0.122539643847362,0.0712682676585195,0.0621901737478401,0.0611902807157857
54,0.123463738222016,0.0777819859045252,0.0609018906916986,0.0570004891542056
55,0.116301444449341,0.0775043649216042,0.0657653793905654,0.0639736855232977
56,0.127539295298893,0.0790939467712904,0.0674906164072708,0.0650602742700037
57,0.124403035297097,0.075799039069112,0.0655948119604604,0.0678796551227971
58,0.122281088796269,0.076756695991887,0.0673330308633194,0.0630622958856349
59,0.12165053702456,0.0669876672094264,0.0625374018342283,0.062907246520911
60,0.116634520657722,0.0733727059788403,0.0638910857861219,0.0617771262341332
61,0.112198567983198,0.077210548818402,0.0606642294409287,0.058536368357401
62,0.128837999023438,0.0789585170699258,0.0685950655058331,0.068813898679805
63,0.122837166912904,0.081847156448126,0.069510171263235,0.0649194664450668
64,0.126303476698734,0.0752063978192385,0.0622485530290368,0.0637111066539421
65,0.120404692966127,0.071509030046028,0.067472884986538,0.0647553545530141
66,0.125092788041513,0.0707436640917065,0.0678879140774046,0.0635773798371032
67,0.124438701365403,0.0776301979595208,0.0676388718128837,0.0655621479456017
68,0.10824556574675,0.0718192936312801,0.0596159910089059,0.0638020650103501
69,0.116091306061263,0.0695555852776511,0.0648434917461097,0.0658182352040469
70,0.115997470167663,0.0773536199803416,0.0678281969451626,0.0607600451165414
71,0.0990568810426569,0.0723438217939533,0.0654883455883242,0.060882707812805
72,0.10800607936653,0.0684225241004411,0.0657864956015705,0.0586119527793193
73,0.111783776700649,0.0689440458515669,0.0568714092868476,0.061586994551794
74,0.112810913051205,0.0689386383793367,0.061921240289504,0.0610702694487036
75,0.128661877764057,0.0788049418858843,0.0656862101277135,0.0585341950600256
76,0.119033311645856,0.0805938028834881,0.069815056900062,0.0657805534798643
77,0.108918280721174,0.0681647300792447,0.0659868165821066,0.0607371469793952
78,0.122869959211032,0.077915441945811,0.0726375485588468,0.059927866688499
79,0.121263254523965,0.0773093397060596,0.0664840771393544,0.0643654154273344
80,0.117776268836517,0.0736908583675048,0.0688266584658457,0.0619344003129554
81,0.123960655471808,0.0702663945686645,0.0608330303369083,0.0605258375682857
82,0.122526608080804,0.0744811668700898,0.0687487291662343,0.0676688529231213
83,0.138902601961183,0.0852811799993099,0.0715647316958886,0.0621218460207201
84,0.128525314089805,0.0795830445280984,0.0671157898809405,0.0632010113802379
85,0.135467056560083,0.0812410984032265,0.0700959034658219,0.0645751700158101
86,0.10875745137423,0.0685782627193919,0.0584795826992018,0.0638257453414447
87,0.109418930329126,0.0803944628869997,0.06688928856959,0.0613899424002615
88,0.115740592698464,0.0761584496425703,0.0659577540357415,0.0613404555633287
89,0.128455279559233,0.0779470763445114,0.0632890622548461,0.0637748373250513
90,0.119847182652876,0.0783482560528255,0.0677268423570328,0.0605375227085851
91,0.118661695056077,0.0698427137204815,0.061456533860838,0.0596480716527349
92,0.12037841335986,0.0729125350763151,0.0616277791216901,0.0604096600262288
93,0.115291460120661,0.0762637602866189,0.0647310180799535,0.0614450300235308
94,0.112311495262208,0.0782252567778665,0.0658615677610976,0.0715526645615185
95,0.135546508050721,0.0753676730209298,0.0658721100252084,0.063972315315396
96,0.112976609823675,0.0712395603356464,0.0671274765992729,0.0650162955314322
97,0.117509249076438,0.0763512003442118,0.0680780595191959,0.0657981766890993
98,0.122065539015814,0.0803620936597305,0.0666908395820937,0.0586724347723378
99,0.109287378919704,0.0717135844680088,0.0590831497556159,0.0575785345407707
100,0.116388630268446,0.0731447265256972,0.0619010662747156,0.0579298442455722
101,0.105918125234953,0.0719786863812721,0.0644355014807583,0.0634938691752193
102,0.107968372799298,0.0744360030123938,0.0681054101669051,0.0624323887223033
103,0.124692532725218,0.0810957425508436,0.0698930269948584,0.0648643361525455
104,0.110757071414428,0.07037095879125,0.0663269228381454,0.0652200753306588
105,0.117662698260639,0.0712123061086521,0.0629362599622595,0.060629043193429
106,0.133326568823253,0.0839092979202142,0.0665875155000978,0.0634562596308545
107,0.12271277676658,0.0741657751149073,0.0692827027681593,0.0617603073567038
108,0.123410116290291,0.0756422411906879,0.0610559942006347,0.0682099653114481
109,0.135925219521451,0.07550198567159,0.0607935599730093,0.0592040265224887
110,0.11250349999692,0.0751088157315247,0.0635533241087721,0.0670057628610162
111,0.128805808017557,0.0738979121322508,0.0684064100298102,0.0666513712120678
112,0.133708476011699,0.0756073492616524,0.0673395395524312,0.0614164743933812
113,0.106442189076928,0.0740967668078401,0.0678524090791999,0.0658144003887571
114,0.108358411536934,0.0773277508545911,0.0694643634787624,0.0683461873708045
115,0.122311215705221,0.073311854071994,0.0661278113166442,0.0666190387978501
116,0.131291661639987,0.0716533982317235,0.0640391406117365,0.0634224516308916
117,0.112352272136356,0.0786901545487561,0.0661214193957082,0.0645217639593971
118,0.114350830523732,0.0719558210157122,0.0638879683401855,0.0659284970367346
119,0.112906261357064,0.0666944012219346,0.0634941790702386,0.0639723605849989
120,0.136188377956004,0.0775001768693595,0.067824692068944,0.0624042126321229
121,0.106083067438165,0.0735172510331109,0.0645509083285716,0.059416784262864
122,0.127844449655232,0.0820311837245749,0.0677181835879163,0.0629387087770615
123,0.124959167374475,0.0820017622828896,0.0664575452254155,0.0599320446539057
124,0.113228276858815,0.0741566797557704,0.0637125859695346,0.0585926371571528
125,0.132762908355347,0.072013160649744,0.0708554567018149,0.0620089147098853
126,0.122341421540846,0.0749609634948086,0.063555272948902,0.0666508582653152
127,0.118083923895601,0.0724743485475301,0.0645663310846955,0.0614783132671245
128,0.113424863130292,0.0783150831487572,0.0691837186800626,0.065869115641912
129,0.120904865503956,0.0734048887061024,0.0637578711195046,0.0567718148442744
130,0.121094731881769,0.0768255839685777,0.0671533207539438,0.0688644131522963
131,0.124155755967312,0.0750312047947762,0.060554137462349,0.0617205153266864
132,0.118315766852631,0.0767875495414605,0.06917711553387,0.0677230134962099
133,0.131856946810637,0.074294510131414,0.062824810128591,0.056729022989366
134,0.129305146133968,0.0852883406077882,0.0713959052851872,0.0602829910970428
135,0.116838697718705,0.080451940365349,0.0597663911768547,0.0568126284345462
136,0.133145565422706,0.0768974739523009,0.0673662145654384,0.064332890755237
137,0.109915751972604,0.081470704127895,0.0716168025946598,0.0686112020782754
138,0.115824715129036,0.0757750064292514,0.065636990431896,0.0636594026302049
139,0.126363200268171,0.0763529284272346,0.0640899384144428,0.0593537255071188
140,0.122815711718041,0.0724436965806266,0.0631229393842122,0.0617013609584415
141,0.114538121692145,0.0679016068655405,0.0625026137386558,0.0625734315815431
142,0.109941322741726,0.0703237768534402,0.0598857170072577,0.060132279226444
143,0.127716564648831,0.07686476433637,0.063683445669359,0.0628798408801054
144,0.114612182545577,0.0778450807309094,0.0682653896697988,0.0678943289051935
145,0.112311313307811,0.0699953409814689,0.0632287101736336,0.0662153650111217
146,0.120691985680632,0.0805714479164845,0.0678473189224014,0.0631600498445686
147,0.122988246235127,0.0756535581527947,0.0670468187767585,0.0665340739038428
148,0.113613768075968,0.0734726879626035,0.0652078080788999,0.0572071566390562
149,0.117403714839973,0.0696449437986056,0.0597802815274188,0.063949072515951
150,0.115972338658498,0.0740270381764152,0.0590287687260086,0.0584186002046084
151,0.116441419463235,0.0672364145676359,0.0626699957960646,0.0629130059587441
152,0.123131647697185,0.0762033068659814,0.0641016035008688,0.0631216732192941
153,0.123050525787229,0.0718285840673377,0.0643143134137293,0.0611062878594977
154,0.114420891709638,0.0760641417660549,0.0644032175588451,0.0684660292610382
155,0.112088266693986,0.0672667822652758,0.0591002349192699,0.062018017887707
156,0.099357673192173,0.0683003515555629,0.0640531021664911,0.0622081948476377
157,0.129539930289636,0.0693572905232033,0.0692147546510112,0.0660838337603491
158,0.108556729750008,0.0790318291607383,0.0674839947866559,0.060389981750765
159,0.130668421661858,0.0785586064461317,0.0631075872489587,0.0589694706791454
160,0.124320269405951,0.0843962478612393,0.0673784904484093,0.0625550619788321
161,0.115955400009779,0.0717248388428714,0.0599532481663145,0.0591799846852857
162,0.129304573735341,0.0866849285840448,0.0730937818955924,0.0667817123848292
163,0.119459027830289,0.0757831430114671,0.0653598087872433,0.064581443328323
164,0.127242280325139,0.0728760211249315,0.0615680340274525,0.0629614278630448
165,0.118851915379297,0.0758798911896543,0.0633881295079578,0.0632884617478436
166,0.109992361225123,0.0765470057750969,0.0697317053869204,0.0651990944306601
167,0.117383847173684,0.0740829839855912,0.0640541861744321,0.0610355458673698
168,0.121372179510131,0.0772879494008628,0.0687943724825284,0.0665145462189978
169,0.110911830831419,0.0748305175682799,0.0657048520372166,0.0645744038361841
170,0.117075073487554,0.0761576129792273,0.0607224207978272,0.0626512261709387
171,0.117823925343566,0.0717315854034786,0.0626585907427198,0.0613970863003489
172,0.131910170344864,0.0789228114441726,0.067850424177441,0.0626314108663991
173,0.121526852177048,0.0745246316640291,0.0698101615376253,0.0641687149603434
174,0.102479668257822,0.0743977649904242,0.06614260480731,0.0645288568702021
175,0.120213229062923,0.0733118213095593,0.0644669517770648,0.0651289778021029
176,0.119666005180852,0.072576980710921,0.0654766835771951,0.062170457494143
177,0.119384582323254,0.0809365555010523,0.0720998643426354,0.0665435460474465
178,0.12584671909449,0.0668251518524615,0.0582081490088859,0.0573645731528516
179,0.106947892488906,0.0742436327435959,0.0645964067585068,0.0641841373754001
180,0.122754679556419,0.0785826918448334,0.0680258370023075,0.0667235688734616
181,0.120502290995469,0.0705223235386493,0.0632970657920161,0.0627424602866471
182,0.116474227969408,0.075105779677369,0.0650990349462393,0.0646806473489849
183,0.105324179545737,0.0740549025717065,0.0691304582626066,0.0666822246161998
184,0.115099075892802,0.0738108607902966,0.0653860820457713,0.0610019906787517
185,0.114545799930735,0.0712561711760281,0.0659794106028253,0.062694134049739
186,0.132371533416502,0.0758370665306928,0.0651545166210191,0.0614289995934671
187,0.108096599687785,0.0771816534668373,0.0661429891610047,0.064816629692989
188,0.126378255480734,0.073020328112636,0.0674802515053198,0.0611861754235995
189,0.107449015009287,0.0684636071236983,0.0641078217464453,0.0583873517019922
190,0.123385551361781,0.0744167980669145,0.0650367688868333,0.0631762074306171
191,0.122064828881587,0.0766674585995611,0.0643511993226095,0.0646809821900771
192,0.12116146178587,0.0780314336247493,0.0657863606982863,0.063426933450473
193,0.116744872049581,0.083048911576731,0.0635208103137367,0.0625339631307547
194,0.112951001573751,0.0673110287902705,0.0683738070894875,0.0649757716846703
