"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.195250784308482,0.240552950463697,0.225365331286025,0.24605754153709
2,0.19468796644808,0.241086149790122,0.22595102447869,0.246065036247163
3,0.195070102419979,0.242588319561496,0.227285943731503,0.246919376672942
4,0.196117036230112,0.243108444511144,0.228482280209972,0.247618069327059
5,0.193280111393996,0.239310867473329,0.222896758997282,0.242721350056851
6,0.193679869992231,0.239953161308372,0.224868066229251,0.244043473809943
7,0.195626467160404,0.241898281711714,0.226824554030418,0.247242991986003
8,0.194609601353432,0.24228733760073,0.2269256835133,0.245982795623532
9,0.195523238352517,0.24198154327697,0.227186813493395,0.247875249678067
10,0.193140856883882,0.238962934867873,0.223753989592821,0.245009375984726
11,0.193291932797315,0.240808707653994,0.225570773705554,0.246041492537251
12,0.195441361292991,0.242892742720207,0.225677889810642,0.244906704975674
13,0.194833126767225,0.240457200002727,0.225124096478921,0.245385521717293
14,0.196177265968348,0.242570927848396,0.224930858278098,0.245110229736591
15,0.194451708027046,0.242288249136222,0.227814337642376,0.246865303563538
16,0.195638899533647,0.24240091479063,0.225794363045224,0.245213217841737
17,0.194483484203425,0.241451492220303,0.226259677979198,0.246483957742609
18,0.194660315050356,0.242537568843044,0.22459281274558,0.244429700700905
19,0.194797844862311,0.241784055613066,0.227437811910054,0.247656162262389
20,0.194979173582281,0.242677446173896,0.227652753490035,0.247745773370421
21,0.193315527566642,0.238986954669646,0.224702561329754,0.244321531175426
22,0.196370618462177,0.242710364913479,0.227288608951407,0.247301896136501
23,0.193475349983808,0.241095812448654,0.224690170684768,0.244459605701384
24,0.194398048691653,0.241960067092922,0.225885646702737,0.245625030620676
25,0.195069445070893,0.241877431508786,0.227806356348581,0.247635351886533
26,0.194387829301608,0.23973135967673,0.226259510711423,0.246606814823226
27,0.195352048856313,0.241493433928827,0.226070962182355,0.246381016925477
28,0.19453100872415,0.242216291313685,0.227120693383616,0.248413006780255
29,0.194035626453254,0.241496608933893,0.225162156754216,0.244671587427415
30,0.194400703854189,0.240909994037687,0.223666124969102,0.243410999570261
31,0.193495388859336,0.240479558246557,0.22371420627354,0.243865169850419
32,0.194722223438137,0.241390316995319,0.225043979654271,0.24483915354157
33,0.194462720262398,0.242030557211059,0.224041433643217,0.244826462674921
34,0.195215917763096,0.242069970242448,0.226006241853005,0.246358564511436
35,0.193959599292522,0.240883298952891,0.223924116670058,0.243655064855904
36,0.195018233951444,0.242069807245171,0.225464494914383,0.245586741174783
37,0.195043584674898,0.241745907997499,0.227143852931917,0.247468096857632
38,0.19569968250082,0.242197197783031,0.225745001498538,0.246285289590294
39,0.19523068843967,0.241200276755703,0.226346149391536,0.246319630817338
40,0.194994547998373,0.241483167195718,0.226112687760777,0.245003773112467
41,0.193755360553943,0.240382310645958,0.22455458400642,0.242975155100521
