"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.214004004457396,0.220717274199439,0.227631001274889,0.235820267084687
2,0.210051264576529,0.220008368220293,0.229931974971725,0.237107434937462
3,0.211764018102099,0.223814142957894,0.231353843126747,0.240570991367819
4,0.212775133878507,0.221121476081004,0.229567417115254,0.237773723934387
5,0.213778269212982,0.222786843069154,0.231520733743374,0.239723988623958
6,0.212291090179794,0.21999206667756,0.230357205859566,0.237908590421386
7,0.212385878547255,0.222523550172677,0.231671877006901,0.239105291517571
8,0.212596429474889,0.219702058295356,0.228623951614222,0.238788016005208
9,0.212016349301551,0.221146882080057,0.229206929460628,0.232742394630105
10,0.214593686169189,0.228453391919936,0.23387399875809,0.238359271114965
11,0.212063496562791,0.223046289934794,0.230670271945836,0.239696623597612
12,0.214747822558236,0.225179328451738,0.232847064702432,0.241050207707977
13,0.211299133073112,0.223317057205928,0.228537350438599,0.234485077254398
14,0.210162577235801,0.221246449487121,0.228690263057441,0.235214853052944
15,0.21355323726917,0.224299600830608,0.234589609250009,0.243198004481763
16,0.214050582221789,0.222641358829273,0.233117315049637,0.239306830568276
17,0.212552329719842,0.223425838856954,0.22991956944398,0.236177949874609
18,0.213579685394274,0.224137931596855,0.227689728962401,0.236548710663925
19,0.211444819689835,0.216945510404734,0.226250544388588,0.236255834341115
20,0.211206891171648,0.219963091228434,0.229863397368631,0.23536911896321
21,0.213184439182572,0.222178691365839,0.230478118490752,0.237308646341199
22,0.214420597312128,0.22143379429242,0.227734192790609,0.233928284163882
23,0.211204169088144,0.222046049421313,0.231225985583519,0.238372517006279
24,0.208898458340916,0.221568635286586,0.227111202371506,0.232669029480146
25,0.212397762615337,0.223393232735589,0.229871404248182,0.23485350353263
26,0.214158557628927,0.223609600383369,0.233162107342461,0.243786735863898
27,0.208613756642908,0.215951964371913,0.226598123179304,0.233678657846336
28,0.211272322854392,0.221210071750998,0.230228733193825,0.237864818510262
29,0.210612225316317,0.220960600900008,0.230437757213709,0.238962298961609
30,0.213517845780374,0.220291535462359,0.230130346274178,0.237124240474655
31,0.213478616620677,0.226207787681922,0.234498745560291,0.23840013612147
32,0.210355854285155,0.221310527727894,0.229445993459998,0.234744740923052
33,0.212281798526211,0.223229133487275,0.233168888151313,0.238485481695514
34,0.212054853825283,0.222824882620512,0.23347452708789,0.241074965100775
35,0.20968907953012,0.21933678128195,0.227497908433823,0.236617942840612
36,0.210262060528849,0.219620754678739,0.229133092662984,0.233158355976357
37,0.211851941414701,0.221278850439887,0.226680030370262,0.234537803922236
38,0.213777541133372,0.221285502151679,0.228903252448649,0.234292701665816
39,0.214183209023865,0.225021216350293,0.231780995639866,0.23773484961976
40,0.208080883880764,0.216588821360806,0.224085568457172,0.23511704166081
41,0.212577612016404,0.22247812053557,0.227837546666442,0.23561505039381
42,0.211212479686483,0.222576080289321,0.228232137322607,0.236265022213653
43,0.211835308499685,0.224526726353859,0.230750743465093,0.236521857914439
44,0.21201631165841,0.221747754434402,0.228558617336886,0.238072036315145
45,0.211698720330795,0.223520160786527,0.232624068579563,0.239016437618154
46,0.212054472020716,0.220941885491544,0.228595807350218,0.235411932395214
47,0.212017309064867,0.221331587916541,0.229326851094669,0.237668797784144
48,0.211967503486034,0.221811646674185,0.227594110675557,0.236770684119721
49,0.213566057092473,0.227624593020705,0.237618565801832,0.245691229867183
50,0.213093137400191,0.222011516438572,0.22857188765579,0.237441667395946
51,0.212296959273132,0.224520852907559,0.231174613083156,0.242765451180965
52,0.211282631228476,0.220967135844225,0.226820098242381,0.235063767399919
53,0.211055858491857,0.219875765208954,0.229461091404554,0.239151841395335
54,0.214048953049622,0.225585575256537,0.231268928987248,0.236688972364913
55,0.210892470713545,0.22102427261814,0.22714975706141,0.235324712540998
56,0.213114145064959,0.224465407890125,0.23183127175058,0.238700905956438
57,0.210320814147495,0.220182169699629,0.228475610163466,0.234807081234693
58,0.21105704102141,0.220763693302012,0.225708267128026,0.23260673039629
59,0.211250677077969,0.218419486162523,0.226084618601706,0.233653171487902
60,0.211041184445852,0.221315284458705,0.228885724630748,0.235396126433433
61,0.209637831074741,0.220672815712999,0.22853712758083,0.236584711154968
62,0.212027627786976,0.222663583433685,0.233580099714824,0.240553958139206
63,0.211478283157705,0.223410371894724,0.232376609207534,0.239366847982738
64,0.210150332208333,0.220319999024849,0.227340998278493,0.237363025393807
65,0.210208139743082,0.220394714073794,0.226128679160643,0.236159815090409
66,0.210012958212494,0.220001652263305,0.230127322698438,0.238517559980803
67,0.211410810859335,0.222021013413007,0.230353164658326,0.238260978464882
68,0.21177112887307,0.222125582089966,0.231791445700889,0.237901119792745
69,0.212149716211646,0.219542388845472,0.229246161127391,0.238278024245779
70,0.211580040274312,0.221141316515074,0.229462426303812,0.23709218173744
71,0.211414821926396,0.222823732624251,0.234402076868746,0.238596567545059
72,0.209920058311722,0.215894992064577,0.223425923247278,0.230333780047418
73,0.210436849326173,0.222395151229353,0.234291195577331,0.237912300486977
74,0.21186057990332,0.224232811901779,0.231139903918708,0.239975475776543
75,0.20937988439293,0.222828457941282,0.232514875559784,0.241149787086168
76,0.212014489735163,0.218272257554347,0.226297122792356,0.233777782656283
77,0.213364039089126,0.220029613899653,0.22754707915165,0.234285285547979
78,0.209654613766058,0.221949970508502,0.227091913253306,0.236332421711103
79,0.20971890027961,0.221436092425988,0.227648082192443,0.235025680344673
