"draw","lambda_at_index_7","lambda_at_index_13","lambda_at_index_19","lambda_at_index_25"
1,0.162379287211479,0.137533871861524,0.144269868712348,0.143047689072665
2,0.357615113602746,0.355634880129028,0.359967752912265,0.356851840825747
3,0.385982825563062,0.382904009190329,0.384329090572379,0.384388387375509
4,0.381056462097254,0.376724005741644,0.380151263180448,0.379941317699092
5,0.328831463144859,0.323120915842798,0.32892328326814,0.326800849277295
6,0.381894403423664,0.352581797939444,0.365873138845341,0.362366960164948
7,0.40346619799703,0.373602190562927,0.389927122164169,0.387934680748268
8,0.381562150197769,0.374574341443213,0.380553397498716,0.375234109873071
9,0.346270168926778,0.3194925848034,0.330766821759409,0.330058094965305
10,0.358931663491592,0.346304405225017,0.351932212265678,0.350453594105527
11,0.384223849945374,0.38104275089625,0.382431708232888,0.38201990504877
12,0.36965156612191,0.35231248995798,0.360335535425525,0.358169264109386
13,0.23549840371028,0.21967662805621,0.224477519530464,0.223393593509977
14,0.374545709738503,0.357287990753328,0.364879570663745,0.362891793017673
15,0.367106360652756,0.360212225828576,0.371748638354896,0.369188941053865
16,0.268024775764231,0.244839669061634,0.258627741733832,0.256081583287077
17,0.361150716136546,0.35620318828544,0.357284948098024,0.35647047461645
18,0.384799319613984,0.382399393336455,0.383475556684841,0.38320848365039
19,0.378538863157348,0.377023684024271,0.377571007717024,0.377404127873434
20,0.387313209574495,0.369343505870991,0.379454434791655,0.375672363249292
21,0.249357755552212,0.241953640301977,0.243712292007497,0.24409111211219
22,0.217069742257283,0.199753917793712,0.201031788636376,0.199215128717237
23,0.372140240145924,0.370585424492543,0.371271849623072,0.371274396397234
24,0.436499643306685,0.400318699548979,0.416933940407202,0.412681184685195
25,0.424063743895357,0.410952341305412,0.416261754727248,0.414762973703544
26,0.367833298331832,0.364827807571038,0.365906582211754,0.365378878883325
27,0.395172169609411,0.385543834698571,0.386755138743887,0.386625309109173
28,0.441296252031505,0.43363433959966,0.434334283219136,0.434211310524368
29,0.312170717290228,0.286388252980447,0.299286792325973,0.295253193580086
30,0.197828234009874,0.186782223372985,0.190418210843428,0.189240126464348
31,0.180679648221979,0.156369632846125,0.164808949515593,0.163564155148039
