"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.200007214070617,0.200007214070617,0.200007214070617,0.200007214070617
2,0.200379183003909,0.200379183003909,0.200379183003909,0.200379183003909
3,0.20005255605261,0.20005255605261,0.20005255605261,0.20005255605261
4,0.200015648672476,0.200015648672476,0.200015648672476,0.200015648672476
5,0.202190417561539,0.203224178930096,0.203936924289889,0.204466658318659
6,0.201102292388573,0.201104712392737,0.201104921704577,0.201104924078056
7,0.201774863588845,0.201778476572637,0.201779370612529,0.201779419659807
8,0.206192703266226,0.20624235401007,0.206242712873743,0.206242847390275
9,0.200095147976357,0.200095147976358,0.200095147976358,0.200095147976358
10,0.200002605669166,0.200002605669166,0.200002605669166,0.200002605669166
11,0.202564000174981,0.202906359966725,0.202906361886996,0.202906361886996
12,0.200510899477538,0.200510899477538,0.200510899477538,0.200510899477538
13,0.204654373994162,0.20465468991253,0.204654689912584,0.204654689912584
14,0.200163041727617,0.200163041727617,0.200163041727617,0.200163041727617
15,0.202957451872978,0.202957474217814,0.202957474217834,0.202957474217834
16,0.203160253599117,0.203163621092664,0.203163627184206,0.203163627206333
17,0.20005126247805,0.20005126247805,0.20005126247805,0.20005126247805
18,0.200146506338378,0.200146506347094,0.200146506347094,0.200146506347094
19,0.20000146603399,0.20000146603399,0.20000146603399,0.20000146603399
20,0.225817940734129,0.231491091563196,0.231669911621924,0.231679657752507
21,0.200023184691187,0.200023184691187,0.200023184691187,0.200023184691187
22,0.200969647400559,0.201166334737499,0.201228457186252,0.201249307275068
23,0.200001473557476,0.200001473557476,0.200001473557476,0.200001473557476
24,0.200020681485117,0.200020681485117,0.200020681485117,0.200020681485117
25,0.200663857300446,0.200664156594652,0.200664156594655,0.200664156594655
26,0.202530070575175,0.20253234026777,0.202532342120354,0.20253234212198
27,0.200190548102604,0.200190548102604,0.200190548102604,0.200190548102604
28,0.200950248638034,0.200950248638058,0.200950248638058,0.200950248638058
29,0.20052405229554,0.200613907309716,0.200636721071951,0.200645944217358
30,0.200001032600255,0.200001032600255,0.200001032600255,0.200001032600255
31,0.200456983309158,0.200456983309161,0.200456983309161,0.200456983309161
32,0.200022125239046,0.200022125239046,0.200022125239046,0.200022125239046
33,0.216235217223581,0.218574592219753,0.218913586604249,0.21902726307515
34,0.200243086016247,0.200243086016247,0.200243086016247,0.200243086016247
35,0.202342687281207,0.202604220263081,0.20260632597152,0.202606326144017
36,0.235010393341904,0.262164780052703,0.270907021014542,0.270907021014542
37,0.200505252943321,0.200505289434073,0.200505289439983,0.200505289439983
38,0.200038432661538,0.200038432661538,0.200038432661538,0.200038432661538
39,0.200005941191929,0.200005941191929,0.200005941191929,0.200005941191929
40,0.20010340737002,0.200103407370021,0.200103407370021,0.200103407370021
41,0.201692126340443,0.201700588464336,0.201700673906638,0.201700675898975
42,0.205462934344208,0.206306311315044,0.206398491974937,0.206399903097267
43,0.20000000000255,0.200000000004536,0.200000000006021,0.200000000007231
44,0.201742748005502,0.201742752579166,0.201742752579166,0.201742752579166
45,0.201129741790108,0.201129741790151,0.201129741790151,0.201129741790151
46,0.213240356168792,0.221325330141948,0.224806083017757,0.225793614616725
47,0.202848198949477,0.202849339124963,0.202849339589661,0.202849339590117
48,0.224815676448996,0.234164746739441,0.237231235484511,0.238197574496368
49,0.200317582146967,0.200317582146967,0.200317582146967,0.200317582146967
50,0.200036674258289,0.200036674258289,0.200036674258289,0.200036674258289
51,0.223528569423034,0.23762195167449,0.243721714960774,0.245719457232137
52,0.203773008278428,0.204249522277207,0.204296720058581,0.204296720058592
53,0.203076209062055,0.203665248272973,0.203676916323856,0.203676928171843
54,0.231719388083546,0.255333222096071,0.269953876802859,0.274507123696899
55,0.200007648172553,0.200007648172553,0.200007648172553,0.200007648172553
56,0.200959025870952,0.200959039871181,0.200959039871384,0.200959039871384
57,0.203140423682472,0.203616901001283,0.203668034253499,0.203673735732493
58,0.200243413316419,0.200243413316478,0.200243413316478,0.200243413316478
59,0.200277454290157,0.200277454290157,0.200277454290157,0.200277454290157
60,0.201013754563312,0.201013759254346,0.201013759254346,0.201013759254346
61,0.200290167587379,0.200290167589433,0.200290167589433,0.200290167589433
62,0.20396364856298,0.204269664219207,0.204306822573218,0.204306822573219
63,0.20102114867298,0.201021148673368,0.201021148673368,0.201021148673368
64,0.20000517484905,0.20000517484905,0.20000517484905,0.20000517484905
65,0.200006935575555,0.200006935575555,0.200006935575555,0.200006935575555
66,0.232825588122349,0.250339299394174,0.257228153471826,0.257228153471826
67,0.221133030534212,0.22212335224121,0.222153100273235,0.222157157374768
68,0.222161950129388,0.22216200403512,0.22216200403512,0.22216200403512
69,0.200459872894703,0.200459872894703,0.200459872894703,0.200459872894703
70,0.208368855732807,0.208368856959609,0.208368856959609,0.208368856959609
71,0.200616625193173,0.20063772611856,0.200637759519306,0.200637759542609
72,0.208114964362935,0.208199403982718,0.20820428067075,0.208206552211686
73,0.200000320951738,0.200000320951738,0.200000320951738,0.200000320951738
74,0.200026521833299,0.200026521833299,0.200026521833299,0.200026521833299
75,0.221388344599513,0.223917871491252,0.223986006489758,0.223989816570503
76,0.200010221768815,0.200010221768815,0.200010221768816,0.200010221768816
77,0.201995079867585,0.202001224482395,0.20200280344789,0.202003194275358
78,0.20574033234313,0.206199618077371,0.206267424538795,0.206286275262581
79,0.200036352623554,0.200036352623554,0.200036352623554,0.200036352623554
80,0.232848278344159,0.241337854660371,0.242280312054673,0.242322947337867
81,0.210413257634755,0.211440095915181,0.211634603452033,0.211715192323681
82,0.200119818892183,0.200119818892183,0.200119818892183,0.200119818892183
83,0.21286942669841,0.212882750151837,0.212882750280373,0.212882750281393
84,0.200017548554119,0.200017548554119,0.200017548554118,0.200017548554118
85,0.201478233169773,0.201478233169835,0.201478233169835,0.201478233169835
86,0.20181622884933,0.201816229362746,0.201816229362747,0.201816229362747
87,0.2003074941686,0.200307495067408,0.200307495067541,0.200307495067674
88,0.205045252069443,0.206124344730708,0.206142120701529,0.206142121400839
89,0.209490571070789,0.213923379605238,0.216565692662203,0.218139176639229
90,0.204685896645188,0.204685896645188,0.204685896645188,0.204685896645188
91,0.201008173146174,0.201008173289478,0.201008173295692,0.201008173295692
92,0.200000279344667,0.200000279344667,0.200000279344667,0.200000279344667
93,0.200128261725088,0.200128261725088,0.200128261725087,0.200128261725087
94,0.204631029372797,0.204638816632298,0.204638830448838,0.204638830477718
95,0.200090061314977,0.200090061314977,0.200090061314977,0.200090061314977
96,0.200111441505827,0.200111441505827,0.200111441505827,0.200111441505827
97,0.202135476528267,0.202135593378223,0.202135593384859,0.20213559338489
98,0.201205828585837,0.201205828586204,0.201205828586204,0.201205828586204
99,0.200001093786007,0.200001093786007,0.200001093786007,0.200001093786007
100,0.20390187129666,0.203933841753769,0.203933912624222,0.203933913178572
101,0.202979315513243,0.202979361008339,0.202979361009076,0.202979361009076
102,0.204950064042861,0.20713220118414,0.208179152089752,0.208482596696503
103,0.20118880566309,0.201188805665085,0.201188805665085,0.201188805665085
104,0.200899356408129,0.200899356442493,0.200899356442493,0.200899356442493
105,0.204507680551651,0.204538627491061,0.204538730147089,0.204538730147089
106,0.205521590082212,0.206757964251229,0.20676191604319,0.206761934728502
107,0.205062134270772,0.205064165059665,0.205064166442966,0.205064166443742
108,0.200171315701405,0.200171315701406,0.200171315701406,0.200171315701406
109,0.20024307436176,0.20024307436176,0.20024307436176,0.20024307436176
110,0.203842125322721,0.204337266350175,0.204350131519949,0.204351903204294
111,0.200043954653692,0.200043954653692,0.200043954653692,0.200043954653692
112,0.20001874901702,0.200018749017021,0.200018749017021,0.200018749017021
113,0.200631509466826,0.200631658679153,0.200631658679189,0.200631658679189
114,0.200196400502984,0.200196400502984,0.200196400502984,0.200196400502984
115,0.200053073011487,0.200053073011487,0.200053073011487,0.200053073011487
116,0.234830248955514,0.260867462314011,0.27821342332998,0.288985691018242
117,0.200496618092368,0.200496618092368,0.200496618092368,0.200496618092368
118,0.20016537421505,0.20016537421505,0.20016537421505,0.20016537421505
119,0.203953450920911,0.203955372232522,0.203955374644878,0.203955374648883
120,0.203717115137251,0.203719190181411,0.203719190929118,0.203719190929448
121,0.201780895643097,0.201780895702647,0.201780895702647,0.201780895702647
122,0.218533308445449,0.218617695109194,0.218618162153304,0.218618177233584
123,0.209313497665208,0.211891510147312,0.212249430627408,0.21230754297863
124,0.20040236627304,0.200402366273041,0.200402366273041,0.200402366273041
125,0.21619626914576,0.220809284465687,0.22308991954931,0.223342802530574
126,0.200101724410848,0.200101724410848,0.200101724410848,0.200101724410848
127,0.206372250545784,0.207029139420398,0.207184687031209,0.207248782936947
128,0.201648002430389,0.201648002617258,0.201648002617258,0.201648002617258
