"draw","lambda_at_index_7","lambda_at_index_13","lambda_at_index_19","lambda_at_index_25"
1,0.20009969652968,0.200099697041424,0.200099697041424,0.200099697041424
2,0.201197749445081,0.201628133980588,0.201774717641951,0.201806898355078
3,0.200239811993139,0.200239811993139,0.200239811993139,0.200239811993139
4,0.207970635802151,0.20797140526869,0.20797140526869,0.20797140526869
5,0.204371664953911,0.206073460129777,0.206841620144283,0.2068477631912
6,0.216897712431981,0.221643812192761,0.221643812192761,0.22164381219276
7,0.205184268140266,0.20840598615925,0.21046527415468,0.211655823803523
8,0.201579732927677,0.201579831237637,0.201579831238119,0.201579831238119
9,0.2026225270384,0.203103550794223,0.203181390021306,0.203196120430733
10,0.201661708950382,0.201662684711804,0.201662685283777,0.20166268528412
11,0.203330720532934,0.204248182793808,0.204257620697741,0.204257626019917
12,0.200013249364243,0.200013249364243,0.200013249364243,0.200013249364243
13,0.201319895079793,0.20131989825632,0.20131989825632,0.20131989825632
14,0.210942206686661,0.211942758537337,0.212031598428278,0.212042610679281
15,0.200009094956302,0.200009094956302,0.200009094956302,0.200009094956302
16,0.200510993805458,0.200511299790866,0.200511365779602,0.200511365844316
17,0.203493003919089,0.20350771767149,0.203507719804608,0.203507719804611
18,0.201013155966075,0.201119348459595,0.20112863286393,0.201128945363508
19,0.201017219388305,0.201017932780205,0.201017932782683,0.201017932782683
20,0.213929816258436,0.219503790110863,0.219513530759558,0.219513530759558
21,0.200001844248177,0.200001844248177,0.200001844248177,0.200001844248177
22,0.20002712944108,0.200027129441102,0.200027129441102,0.200027129441102
23,0.208476473713094,0.210098582131114,0.210429904314199,0.2105744216409
24,0.203027601674286,0.203036952470021,0.203036952492124,0.203036952492124
25,0.200046910926592,0.200046911317096,0.200046911317107,0.200046911317107
26,0.200005139749397,0.200005139749397,0.200005139749397,0.200005139749397
27,0.200015779311477,0.200015779312891,0.200015779312891,0.200015779312891
28,0.2043106078446,0.205144871836098,0.205271988754333,0.205295070633912
29,0.214350343017317,0.217949286669083,0.219291268167545,0.220215649830804
30,0.201117619284372,0.201122368378165,0.201122387807342,0.201122387882364
31,0.201121289552752,0.201132139770562,0.201132177252722,0.201132177392518
32,0.200016797848998,0.200016797849019,0.200016797849019,0.200016797849019
33,0.207268013661833,0.207939506340589,0.208001465168282,0.2080053423115
34,0.205635398293038,0.208023554332221,0.209132527289364,0.209795831050699
35,0.203017709672322,0.203018080033197,0.203018080051558,0.203018080051558
36,0.209114235558439,0.211680483904995,0.211900982133689,0.2119011518789
37,0.200011312487456,0.200011312487456,0.200011312487456,0.200011312487456
38,0.219302584828669,0.22424857021873,0.224248572382385,0.224248572382385
39,0.200782831846952,0.200782957124215,0.200782957134988,0.200782957134988
40,0.20181491275459,0.201958053573178,0.201958614525033,0.201958614683604
41,0.200106493612389,0.200106493612421,0.200106493612421,0.200106493612421
42,0.202575623402702,0.202594227111947,0.202594400471107,0.202594402251029
43,0.20070501306336,0.200705070175407,0.200705071163915,0.200705071525406
44,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
45,0.200058244271029,0.200058244271029,0.200058244271029,0.200058244271029
46,0.200040049485606,0.200040049485606,0.200040049485606,0.200040049485606
47,0.200882132500439,0.200882144155027,0.200882144155136,0.200882144155136
48,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
49,0.200012565272787,0.200012565272787,0.200012565272787,0.200012565272787
50,0.210970001140669,0.219437299073063,0.225737712012304,0.230305476604353
51,0.200006718778896,0.200006718877445,0.200006718877445,0.200006718877445
52,0.204144595793653,0.204275156843801,0.204275156843801,0.204275156843801
53,0.203912581057215,0.204408686997985,0.204419499496962,0.204419834092056
54,0.200266129658003,0.200266129658004,0.200266129658003,0.200266129658003
55,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
56,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
57,0.200126067135145,0.200126067135448,0.200126067135448,0.200126067135446
58,0.216339649542348,0.223106688104077,0.226373084278574,0.226377573568568
59,0.200021972590698,0.200021972590699,0.200021972590699,0.200021972590699
60,0.205825768536941,0.208746247597779,0.209724490660501,0.209902387031284
61,0.201812415488831,0.202689275387444,0.202976486479072,0.203097407184769
62,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
63,0.200453693383569,0.200453696667471,0.200453696667479,0.200453696667479
64,0.21007423823009,0.210413861653735,0.210423890602226,0.210423985256547
65,0.212273907710902,0.21412433590606,0.214157456097691,0.214157456097691
66,0.211269794353322,0.219292665008801,0.22346080744566,0.225673514849428
67,0.200094056657128,0.200094056657128,0.200094056657128,0.200094056657128
68,0.200006640231053,0.200006640233876,0.200006640233876,0.200006640233876
69,0.200608665439689,0.200609709696305,0.200609709714927,0.200609709714927
70,0.201330245103029,0.201331160306727,0.201331161463529,0.201331161465439
71,0.209640070752944,0.213317247422065,0.215624049635599,0.215624049635599
72,0.200059818796026,0.20006268640195,0.200063512542734,0.200063922561176
73,0.200354627557326,0.200354627560988,0.200354627560988,0.200354627560988
74,0.201171171409838,0.201865308949649,0.202089120286528,0.202090479932945
75,0.201860934075601,0.201872531824297,0.20187261056318,0.201872611038751
76,0.202622092165623,0.203479493486288,0.20347991766668,0.20347991766668
77,0.217238623594003,0.22566800073241,0.228150414349035,0.228896065721778
78,0.203562734980284,0.204792932001575,0.204792932001575,0.204792932001575
79,0.204945239272405,0.206131517797197,0.206398195827432,0.206460191734786
80,0.20021524507256,0.200215856999301,0.200215858499204,0.200215858501655
81,0.204959542960538,0.206479744073869,0.206993989594861,0.207096228555854
82,0.200232081832274,0.200232081851229,0.200232081851229,0.200232081851229
83,0.202399383437495,0.202427621500042,0.202427862416352,0.202427867163896
84,0.215259658035864,0.225242199271408,0.231728119601353,0.235728512106743
85,0.201891699053682,0.20248684163852,0.202487548000535,0.202487548606771
86,0.200270870657983,0.200271036545201,0.200271036682088,0.200271036682099
87,0.200623801022031,0.200623870735378,0.200623870737767,0.200623870737927
88,0.200331847198666,0.200332330658967,0.20033233165305,0.200332331657261
89,0.200303675654178,0.200303675674904,0.200303675674904,0.200303675674904
90,0.21096577217932,0.217911820593552,0.220815333863711,0.220815370780132
91,0.200003110134224,0.200003110134224,0.200003110134224,0.200003110134224
92,0.200695555428863,0.200696035714565,0.200696036022044,0.200696036022265
93,0.200312008547037,0.200312009562919,0.200312009562919,0.200312009562919
94,0.218910669927117,0.224970031719051,0.225017307972711,0.225017308220282
95,0.207546809747976,0.212098493844745,0.213554513478547,0.213748440291067
96,0.201806497656554,0.201808109166589,0.201808109204738,0.201808109204738
97,0.220380264679618,0.233643380810713,0.239614046702105,0.240902010249196
98,0.201457077790016,0.201469466916725,0.201469569006955,0.201469570328816
99,0.201076464055692,0.201076975178179,0.201076975407677,0.201076975407727
100,0.200120279539298,0.200120279552874,0.200120279552874,0.200120279552874
101,0.200293834564168,0.200293834794667,0.200293834794667,0.200293834794667
102,0.20006128641284,0.20006128641284,0.20006128641284,0.20006128641284
103,0.200228363835579,0.200275703157075,0.200280148375499,0.200280165869539
104,0.20619815760442,0.208708918351449,0.209827267328303,0.210481742976311
105,0.200120282115347,0.200120282120022,0.200120282120022,0.200120282120023
106,0.203764111688555,0.203795373014829,0.203795390311593,0.203795390311719
107,0.200344558183404,0.200344558711927,0.200344558711928,0.200344558711928
108,0.206742271238781,0.210105946433988,0.212034619235171,0.213424371824889
109,0.206734222836092,0.210323447899836,0.211648934451168,0.212044586446503
110,0.200184118878837,0.200184122799849,0.200184122799868,0.200184122799868
111,0.200695379265767,0.200696057292404,0.20069609716781,0.200696112256407
112,0.205773663288578,0.20682597369583,0.20682597369583,0.20682597369583
113,0.200901955522942,0.200902271836636,0.200902271836636,0.200902271836636
114,0.200773019619374,0.200773046348796,0.200773046348796,0.200773046348796
115,0.200807975676236,0.200871161475675,0.20087551126912,0.200875515979042
116,0.201274797669655,0.201275142701041,0.201275142800383,0.201275142800393
117,0.202009335891575,0.202018178052333,0.20201817819145,0.20201817819145
118,0.200004095811745,0.200004095811745,0.200004095811745,0.200004095811745
119,0.202563162534267,0.202574237427699,0.202574285106004,0.202574285269187
120,0.208578841737105,0.213279258124332,0.215276890737695,0.216219235282041
121,0.200012708960545,0.200012708960545,0.200012708960545,0.200012708960545
122,0.200645641890375,0.200725470968548,0.200735378163744,0.200736271067004
123,0.200024077410772,0.200024077410772,0.200024077410772,0.200024077410772
124,0.209954467666953,0.212181511061908,0.212462368317086,0.212495043740469
125,0.204106978348659,0.204491555001089,0.20452888736416,0.204534960571772
126,0.200019355952811,0.200019355962381,0.200019355962382,0.200019355962382
127,0.204049711617758,0.20624434290321,0.207838218388668,0.208441005419518
128,0.20039659530422,0.20044156984399,0.200444528744413,0.200444529491971
129,0.203735871728007,0.20422681317324,0.204253124794153,0.204253143793191
130,0.213764371844472,0.217566627020041,0.217566627020041,0.217566627020041
131,0.20000000000249,0.200000000004439,0.200000000005964,0.200000000007158
132,0.201213927193813,0.201214899142123,0.201214929459674,0.201214930413979
133,0.200099010934985,0.200099026887035,0.200099026887787,0.200099026887787
134,0.201977834487328,0.202305172174318,0.202363295047788,0.20237680220691
135,0.2089433869867,0.209689463859053,0.209693440792668,0.209693440803547
136,0.209313665932752,0.215000161674835,0.218459625684143,0.220134165787604
137,0.200586123897712,0.200586147731276,0.200586147732647,0.200586147732647
138,0.208477521965783,0.210577486363263,0.210736888382656,0.210747408315906
139,0.206441545795721,0.207860042813574,0.208118451643095,0.20816947047579
140,0.200168631709644,0.200168631709644,0.200168631709644,0.200168631709644
141,0.200402435433892,0.200402435433892,0.200402435433892,0.200402435433892
142,0.200482988421028,0.200483082747208,0.200483082768513,0.200483082768518
143,0.201303274028324,0.201303382666296,0.201303382666297,0.201303382666297
144,0.200126748087319,0.20012679040629,0.200126790423991,0.200126790424006
145,0.200578657096891,0.200579440495978,0.200579546764522,0.200579609990001
146,0.216153422901308,0.22774340296393,0.233391469613721,0.235815646392474
147,0.203007361058596,0.203106100973876,0.203106258942029,0.203106258942103
148,0.203511772992894,0.203634421906258,0.203639917630646,0.20364026744835
149,0.200290680270951,0.20029068137232,0.20029068137232,0.20029068137232
150,0.200291948313522,0.200302532612942,0.200303251027178,0.200303251027178
151,0.210077817756651,0.213055386038338,0.213055386038338,0.213055386038338
152,0.2000978361205,0.200097837821519,0.200097837821519,0.200097837821519
153,0.200388438260819,0.200388438729544,0.200388438729544,0.200388438729544
154,0.200617759645936,0.200617763095581,0.200617763095602,0.200617763095602
155,0.20588639351098,0.207947370095194,0.208682985642952,0.208920889084009
