"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.198399170290568,0.258310277248213,0.239160387523483,0.274042023472577
2,0.189575727487533,0.237200298916028,0.217718985554462,0.254512351437179
3,0.195406371581256,0.257927926000619,0.242170810438419,0.279362701434796
4,0.193471801737571,0.252336425740082,0.230948686089801,0.253564875215698
5,0.189153944637491,0.236162971068239,0.216188785191352,0.236860419141315
6,0.194182538590045,0.246934412328373,0.225120610968983,0.255422028296474
7,0.202112257437303,0.266350548773741,0.247616372696227,0.28356110100886
8,0.197974573630537,0.253719369801256,0.232142675831866,0.255916823385707
9,0.190194477925427,0.237088611812587,0.217547833007669,0.237985926308905
10,0.191294870860038,0.24733499656847,0.224938791933064,0.26039565614153
11,0.196883859738096,0.253273454413382,0.230890511609664,0.25686061830528
12,0.188519640791363,0.235334976118093,0.215517184411177,0.23394594890776
13,0.190339268836664,0.244030061160554,0.222374850360884,0.250979264240976
14,0.192873662727242,0.247467436009174,0.227240815719441,0.254688161922171
15,0.200770804957229,0.264888686732601,0.248527296427142,0.277289637956367
16,0.189730979986452,0.234013640104498,0.212995719818202,0.236209724564491
17,0.193343892417419,0.242614018996263,0.223334667061992,0.246621136886743
18,0.188778895846855,0.236322338507619,0.215029345907786,0.240788378668383
19,0.18814801649226,0.234062643088301,0.213408296809684,0.24362334468456
20,0.188105380963899,0.233421001231749,0.213226074847992,0.23814165722003
21,0.19536738976344,0.256927624198691,0.240639677069852,0.275018590688223
22,0.199746905993751,0.260737635479128,0.240475405173039,0.262495836119937
23,0.195540005817774,0.252499283754019,0.232255107944527,0.260150740578001
24,0.189172884821817,0.245828172914784,0.223738967413825,0.259098641292421
25,0.189310941238458,0.250539208320966,0.239425084072287,0.276758575549289
26,0.188887319232315,0.239997829401468,0.221179057387641,0.248520681273041
27,0.190443105206022,0.239163617202545,0.217938096588405,0.238806810620154
28,0.191816296897719,0.240881588757888,0.220811286162951,0.238791300328399
29,0.188409755653377,0.234902485774578,0.214315668767802,0.248080662383153
30,0.191993408464783,0.247596491886671,0.226724154602286,0.251241259645165
31,0.190282151690821,0.238177137645724,0.217730772430546,0.238232076464552
32,0.188984754601653,0.245477088913427,0.229900302309,0.258820928571678
33,0.19151721306572,0.252608947065886,0.237024749895211,0.272135860191455
34,0.194792913112221,0.252884537018004,0.232188133984088,0.260138972101232
35,0.187848704442331,0.229827566333428,0.210163642681057,0.233458563285057
36,0.194052124229014,0.244890535001347,0.222594024676738,0.244518689797312
37,0.198303524588075,0.25882783869509,0.240075110765553,0.275134341785155
38,0.195478967240624,0.253199263848733,0.23434904752183,0.260244131671255
39,0.18831746161825,0.233143192146191,0.213329979531009,0.241987435869396
40,0.188860846494269,0.236397883658405,0.214527935024583,0.239010428146129
41,0.199871563306544,0.261589401392267,0.241590354126373,0.274494974186609
42,0.195409301468398,0.254969145715794,0.228756558772928,0.252141719390461
43,0.188498523168684,0.237625885531569,0.215953857482431,0.247408966520057
44,0.188575395780297,0.235056425061553,0.215757608009367,0.237285651028771
45,0.199254955006257,0.258425835843138,0.241033854611524,0.272145638054971
46,0.188597871518528,0.236894679141268,0.215120057495868,0.244056862302957
47,0.192627323199195,0.248807475961237,0.223117999849076,0.244405964736471
48,0.189528958689239,0.241494957721503,0.223942608806898,0.255670338753109
49,0.195103832955802,0.252766414882672,0.226405827118126,0.254917157578081
50,0.191338318014003,0.243684192509806,0.224010884037076,0.250114218639131
51,0.188942610044459,0.242731118768477,0.223262492542707,0.253628682866594
52,0.200897723518013,0.26398613769356,0.245885325057106,0.280437712244072
53,0.188406776518562,0.234217427128101,0.213120095093962,0.239004802090859
54,0.195347319520433,0.252740724410136,0.234240699082052,0.26150747188126
55,0.190612548110847,0.243272809578068,0.224256778119597,0.244414735628252
56,0.193382463697128,0.251671269389656,0.234415959963905,0.25867776221442
57,0.197545545667522,0.254633911623637,0.237267959067176,0.270965500461412
58,0.189425214497345,0.235041286972855,0.215175470960239,0.247665651138562
