"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.191430274642845,0.238085520872082,0.218287443373287,0.236778662765499
2,0.1882904659851,0.233796065438783,0.213537913148848,0.231123537734399
3,0.189022676866576,0.23480132565657,0.21553814703548,0.235279813104285
4,0.187952833162143,0.231302932373891,0.211629819311353,0.229908163571569
5,0.189653285079186,0.234845886253193,0.214723540134694,0.235360007708007
6,0.188221493062966,0.233112358602842,0.213547359661915,0.231386922451348
7,0.191465984891209,0.238612132103096,0.219323195365621,0.240673075999532
8,0.187964868083304,0.231418303689381,0.210989699454909,0.230239986259285
9,0.187854264851322,0.229860138625569,0.209895743658766,0.227480877548267
10,0.187852438240963,0.230135045490253,0.210144563871127,0.227081179998405
11,0.18791354654561,0.231657085184104,0.211368751492386,0.232730686381567
12,0.188590805950008,0.231478447287764,0.211279928544923,0.228915191333304
13,0.187879520751943,0.230419838651287,0.210297972684237,0.229137549353796
14,0.189430771407913,0.233910875390806,0.214129754155349,0.233813918278093
15,0.188325229024432,0.23172629530306,0.211143915460053,0.229909156062013
16,0.190052338583158,0.236334732411824,0.216432243084146,0.234336415985497
17,0.187900867546539,0.23094123784198,0.210703997960064,0.229314520873869
18,0.188326017575392,0.234570444094612,0.215853657158746,0.235835276975241
19,0.190530998585376,0.236241472298168,0.216805488920169,0.23508219184769
20,0.190271902855331,0.237036330362953,0.218234978846228,0.239123268920543
21,0.188344132073559,0.234518992810332,0.214808650026323,0.234492686657413
22,0.18782992019819,0.229543573195746,0.209611443038271,0.226895037135487
23,0.188174238823879,0.233510004916387,0.213746164605314,0.23108909689906
24,0.188234539522057,0.231438887332375,0.210946245455555,0.228761073656694
25,0.189945864496922,0.235141485962327,0.215377090796087,0.23506240192908
26,0.189267879091883,0.23319492706956,0.212153607338863,0.230684148138583
27,0.188215988837614,0.234087181768362,0.214578682368633,0.231976910130703
28,0.188071163563745,0.23352011554086,0.215098588855562,0.235121336685259
29,0.188019191194262,0.232404040279229,0.213472994472695,0.233713790991222
30,0.187893322719164,0.230694795699222,0.210802361782175,0.227842621147855
31,0.18802969118495,0.232504035975912,0.212846763714047,0.231498741290821
32,0.187876370037633,0.230868571597547,0.210491254677954,0.227762399234916
33,0.188608117976401,0.23267901214304,0.211842887648677,0.231191386468168
34,0.188652548453585,0.234043205886723,0.215292986524154,0.235294386229673
35,0.189073477651703,0.23333268615943,0.213080068988401,0.230917435058169
36,0.187917496917131,0.23053986460176,0.210743070151881,0.231905361181211
37,0.188025351415047,0.232180749634587,0.211538724945811,0.229064612528964
38,0.187826446109195,0.229591920185582,0.209564019402941,0.226238237828713
39,0.188091210264694,0.232836441254393,0.212691177634597,0.231223888099515
40,0.191196386724308,0.238053267879053,0.218956025472127,0.237578202289495
41,0.187840042992437,0.230983029483934,0.210683441350139,0.229978989475815
42,0.188769793848114,0.231680640119489,0.21111303038949,0.228469156707932
43,0.188018705036805,0.231851291901705,0.211326812392605,0.230851532957477
44,0.188275329213754,0.230538485017254,0.210371468033237,0.229102975524341
45,0.190304641022622,0.236406012086775,0.217211660566571,0.237087440543829
46,0.187955242371213,0.231525245614962,0.211388102941835,0.229172839228354
47,0.187826736719269,0.229520506137938,0.209542693994337,0.226285472622742
48,0.188328994630238,0.233570270377301,0.212508707812035,0.230287734325078
49,0.188127173842987,0.232133705885454,0.211828791530047,0.230790738760085
50,0.187855858388687,0.230015895619901,0.210062761147777,0.226949148140524
51,0.1878728129672,0.230073596644326,0.210251645732849,0.228832701323771
52,0.188019363905968,0.230039755826885,0.209888256602666,0.22657308282848
53,0.1885074248351,0.23360794234237,0.212366973099383,0.230270619459101
54,0.188195644041697,0.232982297761552,0.212770925672869,0.231512578219021
