"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.114457513790508,0.0828875201173318,0.0808394606031026,0.0797208350533488
2,0.178791004903732,0.14608563604861,0.153504145071947,0.152323613007314
3,0.132464368546428,0.10303606312309,0.106398730807909,0.106419663093803
4,0.138531410905162,0.113228906330195,0.118970959361509,0.118622050131935
5,0.12894351158923,0.114831621749582,0.119088015785393,0.116902067396803
6,0.110550336829066,0.0909604278867299,0.0931649550565785,0.0931616054265113
7,0.189324189807185,0.156522694557218,0.162842875848973,0.159880885573147
8,0.144469630356089,0.138723236694027,0.140157073550816,0.138950268325413
9,0.187222323671126,0.156384947028835,0.164366046419812,0.161420415214249
10,0.151851666412844,0.143410850919579,0.14350518576465,0.143452297374685
11,0.183718393717199,0.15908869360957,0.166958171092064,0.163887789437514
12,0.157133368449482,0.12572756513715,0.130944996971675,0.130492880837508
13,0.125949306389984,0.106778384280126,0.107748634395351,0.107267891899488
14,0.11057103391458,0.112635812709368,0.119370838453823,0.116575924316174
15,0.190672310824966,0.172876590904459,0.180515435788191,0.177522858996623
16,0.100609790824215,0.0686912300961961,0.0629890795664592,0.0629821839154989
17,0.163640786452397,0.133293891016991,0.133168590344192,0.133164729658587
18,0.117253229539503,0.11296319185839,0.113476668088687,0.11302623026158
19,0.10796399789922,0.107824069372441,0.107837246594285,0.107836046935665
20,0.188371631627802,0.157913523424493,0.167551751661512,0.16505964213456
21,0.0894789470381715,0.0578143220060771,0.0526334549607725,0.0518481447771921
22,0.144583765252183,0.116076211356194,0.122869286818011,0.121460089801374
23,0.117068044764287,0.103634398667037,0.108352742962396,0.10535104029084
24,0.175863090129292,0.146427676983562,0.154879819048334,0.152907770406131
25,0.183632676959641,0.162640813859924,0.171606882573222,0.168268605421089
26,0.114592626238331,0.0857979515846171,0.0862576611563218,0.0865324904545328
27,0.13662527672937,0.135944114297056,0.136277349413165,0.136078232482696
28,0.164169764204062,0.139232435764936,0.147712231428822,0.144985829086688
29,0.149628196267209,0.120260979641421,0.125898663854002,0.125357464787591
30,0.154457822010031,0.126927064345251,0.133510026609486,0.133295802177913
31,0.132389799261523,0.125025977896438,0.125261626478022,0.124633822147499
32,0.151683815358904,0.135276904103304,0.142349619731566,0.139436402362184
33,0.136531740460025,0.136392331421036,0.13679984049226,0.136668007070351
34,0.109957194653192,0.109083837205146,0.109102754611792,0.109058637904258
35,0.116248078544875,0.087712184460082,0.089648008814038,0.0895967001578321
36,0.18807500843353,0.155227056766948,0.163790276555001,0.162067840225869
37,0.166330668473835,0.151191448257221,0.151144800107839,0.150911650392769
38,0.132024694838373,0.10584436045895,0.110848473998431,0.109391161512238
39,0.125731663445322,0.0937395967614926,0.0932974183274348,0.09176391362524
40,0.142116835123335,0.110346777165894,0.112574479518079,0.112233807296796
41,0.114934166149679,0.0870378548102568,0.0915467997142477,0.0902927153582897
42,0.159525934496466,0.137598577446649,0.147938690012065,0.144468157172038
43,0.103560330527819,0.0774763267556142,0.0776672367921516,0.0775552261433041
44,0.139356982240791,0.137599363801119,0.137733252773303,0.137756262640977
45,0.0991331440336649,0.0991212202162564,0.0991292151985194,0.0991243769083994
46,0.156117498993003,0.12670069366176,0.133845354582104,0.132120160252711
47,0.156681038504844,0.131195863875696,0.139243299688619,0.139955239530827
48,0.151960062564025,0.125727173380038,0.133213988798243,0.132181805664854
49,0.0929663934685496,0.0735245350482917,0.0755497375660295,0.0745973765807466
50,0.119038667927492,0.100016959653201,0.105047349619517,0.104152884623197
51,0.133452449730312,0.114007563653332,0.121271500671286,0.120500216935665
52,0.14449109844947,0.139831193021349,0.141084673625447,0.140325278620838
53,0.117040954038643,0.107546282301419,0.107394131659579,0.107361501903251
54,0.107215119471128,0.076218951374933,0.0742456995832478,0.0741941781901914
55,0.121057992100603,0.0969451935738428,0.101886431130979,0.100661444184117
56,0.153485299191583,0.12530650955043,0.130941837263488,0.130127521162222
57,0.107001811446601,0.081616439572297,0.0865540262239749,0.0871663065199635
58,0.170539038003972,0.14518915650289,0.150902350820191,0.148784036268177
59,0.150235593531859,0.148076637774247,0.149140787372354,0.146242992767235
60,0.142999374375254,0.127724241809041,0.133041627585958,0.13044873347723
61,0.147695374041295,0.141507606509576,0.144440193757972,0.14344064517323
62,0.139278951099517,0.138929012956732,0.138938269133341,0.138781666961817
63,0.123097033732229,0.0953731886918922,0.099609109261979,0.0996041664042935
64,0.125844803616639,0.096192035434185,0.0970862674037212,0.0965578635738501
65,0.152044775856377,0.131393133426129,0.135651230316619,0.133766330440478
66,0.110550419163144,0.0892491612769356,0.0928583738408751,0.0928467345462522
67,0.141349180948744,0.11434619464905,0.120190891455899,0.117834100022715
68,0.134455413718376,0.103972412615249,0.107959950943247,0.107237868973776
69,0.110486692570253,0.0853955857788928,0.0911682274952782,0.0871060801381607
70,0.141070339621843,0.122174891668546,0.126168250961508,0.124384643545768
71,0.13627451126076,0.13565860780934,0.136167842917963,0.136085157468739
72,0.10263985384377,0.0717149041461006,0.0677918361099949,0.0677916315175999
73,0.153890684465288,0.129605891786818,0.134447931285393,0.132347072311665
74,0.159171773726414,0.135681105419252,0.143546748610148,0.140766694008859
75,0.141708551225323,0.111015005376207,0.113863016459981,0.113920299539839
76,0.15671429731552,0.153571367141897,0.156007851618677,0.1546249351474
77,0.146513367720833,0.131781235237868,0.13182409171218,0.131799372910082
78,0.11511293207302,0.0865271279134253,0.0890600067939549,0.0889342943225909
79,0.169826493288743,0.166203013782909,0.167678784909742,0.166135537578715
80,0.112614641552107,0.111470535280977,0.111819710528243,0.11176815668514
81,0.155183015812766,0.137076167120484,0.142354895400926,0.140898930124777
82,0.132943011088356,0.117840934371703,0.124068502810937,0.121444120816685
83,0.172258593679757,0.141700291387771,0.149562742808595,0.147499272782929
84,0.134823146254534,0.103913036229806,0.106011009015205,0.106128677648588
85,0.139669575792029,0.109370867085934,0.112756639400225,0.112936417585246
86,0.140777348742921,0.110598266084809,0.114261203190737,0.11432172831408
87,0.104387562999338,0.0767428252790946,0.0774357077036702,0.0771294204853846
88,0.132430706803867,0.113341316283189,0.11391792295327,0.113768414875862
89,0.138481341846784,0.111244286685174,0.115810825233,0.113878267205788
90,0.171534974157406,0.144073848329763,0.151253297011162,0.148413200571327
91,0.116222725316183,0.11590485156727,0.116187793652991,0.116144609152917
92,0.191297581505933,0.161094271656278,0.167703953008582,0.164622584722108
93,0.175738768774682,0.150008879395085,0.158219249733555,0.158216869266174
94,0.130503836859959,0.130504425255146,0.130507620010323,0.130506365535853
95,0.129486028376653,0.115401627380658,0.115733873799824,0.11550185327948
96,0.115834719953333,0.084010969572182,0.0834124087052923,0.0836145468824545
97,0.109338963376608,0.0803724277542155,0.0816207497448544,0.0815770808462137
98,0.181604833452617,0.168703409609905,0.174568121313282,0.17304137658544
99,0.145104222210319,0.14038719377531,0.141657333272489,0.140984985224994
100,0.155162873958406,0.143121709400085,0.147871910630542,0.146215878452133
101,0.161601749966951,0.132707024361529,0.138806853182547,0.134059969869756
102,0.112831766694728,0.0891187328493493,0.090674306291626,0.0899654783629725
103,0.142272645594423,0.137744870846283,0.137897487362988,0.137684388143323
104,0.132475488982897,0.129402168186628,0.130346617870151,0.130262365919903
105,0.144785594449158,0.142285561120472,0.146844313440452,0.144790986081645
106,0.123928478119955,0.118627484327395,0.120555016267047,0.120290722331291
107,0.178218000312682,0.173370235721641,0.173993771460098,0.173952257902385
108,0.184479409034269,0.155539562542805,0.154835536045569,0.154839235903372
109,0.139126580853979,0.108057922763354,0.11054185331967,0.110764291095911
110,0.119246281133857,0.0933613651840759,0.0990159646525617,0.0979022394691616
111,0.13377107795694,0.11117462534005,0.115865704440218,0.113873099661903
112,0.123151683124888,0.112013515732975,0.116067372343103,0.116055779500274
113,0.138834153372856,0.114650414386932,0.121723875629932,0.120317525379077
114,0.174260584763097,0.14508827787641,0.154067939424312,0.152793365344342
115,0.141349773055426,0.136736444864835,0.138229290959334,0.137507546246403
116,0.136621082202803,0.120790627946846,0.121258371557673,0.121203471786106
117,0.122074703443724,0.122020506296267,0.122046524744754,0.12204420312401
118,0.182807249312302,0.151989590900786,0.159280653396392,0.156575902719406
119,0.117894720558028,0.0922328781945959,0.0976863625298583,0.0954231027022675
120,0.168778602383376,0.161734987094312,0.161723562011457,0.161804961079973
121,0.124800532688672,0.124740453611728,0.124858906248665,0.124788268119643
122,0.116034745212832,0.10668470746013,0.115418593766082,0.114246892774196
123,0.117277406902729,0.0856573878224912,0.0845672966694074,0.0849347781964734
124,0.168703607454183,0.147294080108924,0.155427174676479,0.152320065227243
125,0.168458717359524,0.141565948390742,0.146721028805421,0.145976235124717
126,0.166821877960834,0.162649960964915,0.164976089699149,0.163992760100293
127,0.133777135367682,0.108762964181211,0.115330134927185,0.115286911708699
128,0.128170161605838,0.0975114195591492,0.0987503474162583,0.0968415764351461
129,0.0936958039697237,0.0658585421692982,0.0656228653731694,0.0656322848805653
130,0.129270423845377,0.115200658644244,0.116805851864607,0.116775598134055
131,0.150188357616402,0.128786703236847,0.136782192642478,0.134228992758535
132,0.162346608781205,0.131456806939215,0.137306411262791,0.139951926798781
133,0.1597399576535,0.130591462193932,0.132220713729021,0.130827581476567
134,0.108203854697712,0.0773545060883706,0.0784362414859908,0.0774932629198388
135,0.154477503780688,0.132775503650559,0.14213958831883,0.139521064433106
136,0.160861319576309,0.137666342666523,0.144362899287536,0.14350809192405
137,0.118175982146935,0.118080260043523,0.11818946430694,0.118120424526299
138,0.141479148796142,0.140845203392946,0.140966110340723,0.140960104975249
139,0.153061797934396,0.143796988085277,0.147990921135024,0.14620425742313
140,0.129345384313304,0.125428620546616,0.127482321710446,0.126927643805248
141,0.121210581457266,0.0917990004809859,0.0964961433778844,0.0957595281153359
142,0.120310331745784,0.0928056543737301,0.0932581391417276,0.0930227832884137
143,0.124944488957432,0.0971816456091025,0.0938917488517903,0.0938591271118034
144,0.16980530981704,0.156285680291245,0.158162549490967,0.157387464043308
145,0.116731869165014,0.086474593530415,0.0860786475180812,0.086163934685368
146,0.169438434675286,0.148958082933973,0.159270338268104,0.15625235586324
147,0.132282105774761,0.131977800215712,0.13197120018895,0.131966199192803
148,0.165719884806206,0.157835314553111,0.16108336721725,0.159481981129788
149,0.101236028818053,0.0728487025033376,0.0760236461056797,0.0749605244861384
150,0.129703671933851,0.10489267864575,0.111168434517483,0.109086053178996
151,0.150354938063974,0.119473947433017,0.124094094681639,0.123726420675633
152,0.156560501679824,0.129206483244245,0.13687453934596,0.134258418112611
153,0.154583106679502,0.129456337302952,0.13057393956632,0.129253012926944
154,0.122779375980244,0.112008779809932,0.116288193208518,0.114793679817635
155,0.107179498267378,0.0835247288651575,0.0874047857417996,0.0869738272075546
156,0.121955088470215,0.0952505819372712,0.100242254047857,0.0983721398499272
157,0.140818793958593,0.112634634591834,0.117549774605764,0.117109427092743
158,0.155714094097241,0.12576748097086,0.130919305150646,0.130600836722005
159,0.171160052027379,0.138547378714442,0.136513568441799,0.136515068707033
160,0.166871775963904,0.134557308894072,0.140381895681135,0.140379613597193
161,0.193088494919562,0.159656330624517,0.168339311841674,0.169298431618688
162,0.170135812598762,0.137524656456145,0.14380313046184,0.143123815193378
163,0.122121036208225,0.0953786836206228,0.0976164401678617,0.096160184507641
164,0.151541749054075,0.133487815887983,0.136743309410064,0.13638614330324
165,0.138912286296736,0.111925492389549,0.117141333017034,0.116285226108071
166,0.148021262333589,0.117685111497744,0.122048016934602,0.121285815786813
167,0.182323834064727,0.151621798179317,0.159950885498354,0.157863182850247
168,0.126794741877849,0.10208040717831,0.106372229318729,0.105303550735407
169,0.177154076444954,0.148954314719065,0.152895568576523,0.152834600523892
170,0.101201799131042,0.0745183740782305,0.0773593602146493,0.0775841787113368
171,0.127522083518901,0.100843121061022,0.105067640875103,0.104632356092409
172,0.135465436536129,0.126206131986444,0.128452171454902,0.127448035388347
173,0.154008007630889,0.121656039540379,0.125836069324948,0.125670311598324
174,0.149078829658646,0.127553048057912,0.129802290256328,0.129572681902147
175,0.128681087051239,0.104998136551377,0.110427378353146,0.108554746974602
176,0.192459923869627,0.163134089773526,0.17575530958976,0.17413147287094
177,0.108853113119625,0.0767516107469927,0.0705804007877138,0.0705784631889172
178,0.0983555769150991,0.0919604233479529,0.0940751337228815,0.0930709962697223
179,0.120229924711009,0.0899017235420249,0.0902747706744513,0.0887218460516093
180,0.122282961997427,0.0905160768582976,0.0901788344967389,0.090305960391091
181,0.188841292743461,0.160145504748832,0.170055198879191,0.166636056040149
182,0.130772356513621,0.099842102535192,0.100778499540172,0.0990138690070913
183,0.110506464747976,0.0821162005786215,0.0845741142546144,0.0837915119322808
184,0.171891083151624,0.155364320855651,0.157279828348772,0.156288541092917
185,0.143083863205366,0.114409387155616,0.120391333428215,0.118862032884192
186,0.150112291525282,0.132469569810977,0.139778391321656,0.137107912425899
187,0.140070285309913,0.139973988561555,0.139997103778154,0.139987962205285
188,0.142133465486029,0.128913316572473,0.136192580144692,0.133664666526625
189,0.110887972251017,0.0996273623217929,0.104535811856894,0.103309296440326
190,0.133120748521022,0.108200109807089,0.111763847036172,0.110069096853946
191,0.152249657714062,0.130036350455235,0.134560711377141,0.132744617355946
192,0.127299257310544,0.105433312583564,0.112138504750892,0.110705192748092
193,0.102092510188582,0.0964319085493464,0.0966883468216848,0.0963811197706997
194,0.135853060476335,0.120523313182457,0.1267999199106,0.124379982359522
195,0.162292224192574,0.132384367225722,0.132749343813075,0.130584963149517
196,0.169623507410752,0.137741536900974,0.144018042136294,0.143220263328794
197,0.12015643799351,0.104485866498147,0.104489592980754,0.104480435492552
198,0.140298694048162,0.124547296565363,0.128746641758588,0.127756762295025
199,0.13040266857203,0.130328033903695,0.130355963916682,0.130337674961485
200,0.097006712406985,0.0716925189054135,0.0716998705226168,0.0716903326706428
201,0.137551083185644,0.112033072843923,0.119453832771266,0.117923704792508
202,0.10009412475025,0.0763155060261086,0.0809463958248217,0.0795099309954913
203,0.141995451524942,0.111399018405575,0.115141044868727,0.113004472903814
204,0.110439660768325,0.090638338514868,0.0964872774445088,0.0948329398825114
205,0.121147365423665,0.115570223203189,0.115623045512008,0.115617816057145
206,0.1310769278007,0.102339702578365,0.107582000675526,0.107801451930939
207,0.145147826232258,0.117734465101131,0.124131588890073,0.122267863622311
208,0.15411314155984,0.132360805705566,0.135088527413951,0.133960581757145
209,0.148906461970563,0.118412332119746,0.122959053824623,0.12228917424145
210,0.152674707416617,0.12941123880267,0.136720819152725,0.134819118206399
211,0.149890113450433,0.129905713077765,0.136024672885342,0.133883901633455
212,0.132109762676266,0.10854106585509,0.114921048020153,0.114672082294494
213,0.182905059656706,0.152058533425274,0.158436798021094,0.157927783604358
214,0.156595261210443,0.125611596220748,0.131740835016074,0.13024113694061
215,0.106144656896972,0.0764360349154242,0.0752425566133742,0.0745767424706217
216,0.10876005492878,0.0786741841710969,0.0786655665503252,0.0777784777754637
217,0.198654832546638,0.166141147250543,0.175859264302811,0.173316380623176
218,0.120126976214876,0.118398327792577,0.118941432361256,0.11882795942202
219,0.17083906598993,0.140510427222406,0.147514828855554,0.145749753315394
220,0.118401777770313,0.116805395609742,0.116865130362823,0.116796825528172
221,0.120854599023777,0.120681344944027,0.120725140877769,0.12068519866203
222,0.112310065984039,0.084141952876844,0.0839603430495209,0.0837101326973021
223,0.14029722951543,0.139949129191153,0.139939977212237,0.139868830927437
224,0.18560733169602,0.172115532379906,0.173920406870787,0.171861600280306
225,0.191691493314894,0.164872205372078,0.168736906106542,0.168671638134238
226,0.186755982257017,0.154369298596817,0.162785440968312,0.161077198454796
227,0.137362291083731,0.115585395212274,0.118397416479891,0.116985661350912
228,0.169744032731956,0.141671110323213,0.150488635501746,0.149354799297721
229,0.109149530714054,0.106229113953964,0.107109936225712,0.106740571547436
