"draw","lambda_at_index_7","lambda_at_index_13","lambda_at_index_19","lambda_at_index_25"
1,0.102535415854924,0.0635012870761486,0.0545227334993195,0.0525137404592648
2,0.10715457030568,0.0662299966394197,0.055951540670477,0.053438143323132
3,0.100438587973405,0.0625515161877749,0.0552800615764257,0.0538286845899987
4,0.106648583560422,0.0630596018315674,0.0546894382408008,0.0545999737757459
5,0.10328926245561,0.0651721246227808,0.0571191561828162,0.0538688380387089
6,0.106267474064503,0.0652553034872485,0.0574157997093177,0.0541023209251092
7,0.0988972199636367,0.0640778902122022,0.0567103465494935,0.0535382012196017
8,0.105552928194808,0.0664446670516177,0.0570871690826571,0.0532759355034585
9,0.105170379895534,0.0655138283351001,0.0565856990815087,0.0534292656166212
10,0.104006740341855,0.0635481583076775,0.0561773943346211,0.0521434816604526
11,0.0985599721652365,0.0630764883648206,0.0556878556932972,0.0526224459958699
12,0.102499866255513,0.0655068960393331,0.0564120528482664,0.0536387873943899
13,0.107076517413366,0.0653040479945003,0.0549232089284581,0.0543546391377527
14,0.0991438117981915,0.0654626727158111,0.0551311056243047,0.05366966745058
15,0.102539979019167,0.0623412921928989,0.0546152946524386,0.0526817203210842
16,0.104876652564719,0.066111575364872,0.0563022377129889,0.0534789228239956
17,0.108605567173904,0.0651012867921211,0.054983780342874,0.0525048431348943
18,0.0983016325930745,0.0638508927148871,0.0573608654169308,0.0543514358959193
19,0.101996807126656,0.0632442438640026,0.0529830373704095,0.0526480583207331
20,0.105275189511521,0.0657948660338799,0.0558414647177829,0.0530099695479956
21,0.0977775244490321,0.0662869167489177,0.0572811459717049,0.0536194649548769
22,0.100919581382717,0.064063872805393,0.0552543709711903,0.0524830569645836
23,0.100001249490439,0.0656175901290104,0.05690274879636,0.0542534942796219
24,0.101992058662185,0.0654730941104567,0.0570436461153462,0.0545293576447556
25,0.100251864222054,0.0645442214124958,0.0554367085271584,0.0523294605375814
26,0.101137178761456,0.0646786397190727,0.0566851428203578,0.052929785802406
27,0.107423865703392,0.0666536669722129,0.0567218303088087,0.0541691889500492
28,0.104879543698744,0.0640330080898563,0.0549556272388315,0.0543763546519038
29,0.103923674740594,0.0653091900964332,0.0555633598660708,0.0515629013610118
30,0.107545712596324,0.0662619161309738,0.0589371240331703,0.0552291543617252
31,0.103214850112366,0.0655118280602711,0.0560492468413623,0.0554962837502343
32,0.103122576197746,0.0674829604240097,0.0585528954407671,0.0533220002302368
33,0.102814644209781,0.0651295285390766,0.0533373598586811,0.0527290937324691
34,0.105232500832191,0.0651579080890045,0.0575510415743849,0.0541300023802473
35,0.101984680566858,0.0626958961265618,0.0569639582559923,0.0546528093905283
36,0.103708930567737,0.0629283398426507,0.0538999941368288,0.0522998078420273
37,0.103723622681188,0.0627376751218128,0.0545550987783864,0.0517699706117613
38,0.106826401729258,0.0640000317436928,0.0562945418815567,0.0536632270270167
39,0.103787924707039,0.0634268541205964,0.0559446299086627,0.0537844940634729
40,0.100208546646372,0.0648755958640124,0.0550412862518059,0.0528533392822207
41,0.103950707625701,0.0657032921968533,0.0573399762886103,0.0522078016572723
42,0.105466855146267,0.0646765368351635,0.0567908919210263,0.0551225272392648
43,0.10883198749943,0.0650108924306338,0.057841762565312,0.0541065223761092
44,0.103027522313318,0.0656605042439936,0.0565165045320355,0.0523557097347822
45,0.104369036543668,0.0652267275167223,0.0568871280871227,0.05276612022803
46,0.108407805896994,0.0632943654936241,0.0534043597647509,0.0515398859975006
47,0.105118840945076,0.0654099001475581,0.0573117884127415,0.0542116465512373
48,0.0998808891970337,0.0613367612959083,0.0546341014050307,0.0544855611171965
49,0.10860588520117,0.0652254725950743,0.0563054811923417,0.0538382508149524
50,0.100082134444527,0.0635794504639534,0.0563949687597335,0.0524130530455682
51,0.104423556204399,0.0615578139412243,0.0543025701848466,0.0537324306005248
52,0.0996550884361544,0.0626344227840738,0.0564111183761415,0.0542285373640538
53,0.101861874314996,0.063984394422573,0.0567458829297424,0.0532188177275141
54,0.104202022924276,0.063783096388696,0.0533765784902627,0.0517726951377142
55,0.100388247115872,0.0611842861272028,0.0547580348085735,0.0531521530260947
56,0.105851730115098,0.0641753675775472,0.0553159193676208,0.0543748736117233
57,0.105681712284554,0.0631934646575561,0.0539242285796348,0.052203144212902
58,0.103351396801333,0.0664346457361922,0.0564905352098656,0.0539297170538053
59,0.10309908064222,0.0648131668320059,0.056404156596129,0.0549139642881579
60,0.0990335886934133,0.0627174196333136,0.05456563788751,0.0532009300010224
61,0.103211380220174,0.0642342960455514,0.0557460740081208,0.0536520415182111
62,0.10124334256201,0.0622807205343474,0.0545234209977354,0.0517427932254488
63,0.10383578466725,0.0647036970591963,0.0545909421427705,0.0525675784701394
64,0.107415585722492,0.064806000334534,0.0548163543501461,0.0521032226348036
65,0.102279792382507,0.066665556810973,0.055502507917314,0.0536999196729591
66,0.10026415190792,0.0647165594579356,0.0582566803140563,0.0548228350145573
67,0.102236588528234,0.0639876777620595,0.0550586800139838,0.0536931026916455
68,0.102723432831274,0.0661634865974936,0.0555138326629751,0.0528330238047479
69,0.104565428713663,0.0653326919706524,0.0552275549016922,0.0532091730719772
70,0.103863986426859,0.0640124123154368,0.0563174910121269,0.0538351770377312
71,0.107473749852349,0.0652910881836941,0.0551470603573328,0.053764667898584
72,0.106697592194234,0.0664032390157266,0.0574590540248704,0.0531166406386981
73,0.104672347854676,0.0648995626160404,0.0559003878700857,0.0540249183003189
74,0.10286216816964,0.0633979076098363,0.05724421918686,0.0543949468372457
75,0.108632166213108,0.0655273284055456,0.0560846065360725,0.0522374963881754
76,0.103718218272417,0.0635494411088487,0.0568080733742687,0.0554059359534662
77,0.102421463565299,0.0650430460620178,0.0569114635919376,0.0535165926227321
78,0.103345097676266,0.0666025890765945,0.0574425818138641,0.053413635604406
79,0.106822310170966,0.065604355473656,0.0543515347242041,0.0530524403318106
80,0.102465321006392,0.0632752279638864,0.0558757190853071,0.0532181402319565
81,0.107922067605572,0.0671500157100708,0.0575715983901646,0.0530276590415934
82,0.105937897746452,0.0630345522906338,0.0543757645141981,0.0517022607505723
83,0.104382890296263,0.0650136926785877,0.0571749353354894,0.0541513927920579
84,0.101834278179168,0.0657678649843455,0.0562970832456815,0.0530783721072847
85,0.108072446582492,0.0646014092104165,0.0546496969730453,0.0535934768569436
86,0.0964540563777428,0.0621173365103667,0.0553482806105203,0.0533575198822402
87,0.0991984085055885,0.0633742012376155,0.054285069731082,0.05054687051563
88,0.101018321754964,0.0624666374927035,0.055403513672031,0.0537509229815157
89,0.102055698770568,0.0650146012139065,0.055641081823429,0.0535214469648436
90,0.106852671192435,0.0660297577758362,0.0567010226175812,0.0539578831808341
91,0.104944960316215,0.0650340412623993,0.0561067671977142,0.0544312034798663
92,0.102079463985207,0.0631931824806731,0.0535523708100073,0.0524728996895417
93,0.106833064868659,0.0647176975030793,0.0553734151437416,0.0533946714019374
94,0.105737237846124,0.066990306260657,0.0574387628770832,0.053296852991343
95,0.106318530780879,0.0643207894973285,0.0544683397933099,0.0525155704590434
96,0.105537957812025,0.0621686757188901,0.0525187537225154,0.0511105405375604
97,0.108226300180076,0.0665904798615333,0.0571666243334333,0.0561733066223135
98,0.106087302309317,0.0651980370246046,0.0566243037743675,0.0533507946677055
99,0.10505768810712,0.0652305128657409,0.056169361695274,0.053919931739302
100,0.105780337080075,0.0648936335101929,0.0558756284402437,0.0534276770164352
101,0.110198566490972,0.0654527771835635,0.0552406687167614,0.0524614240956533
102,0.105020548289834,0.0636193327081868,0.0552169206330999,0.0547118054141654
103,0.105116867229803,0.0623132594020259,0.0530254189358246,0.0524903923937154
104,0.111750012086869,0.0661440264709326,0.0574479624974059,0.0545516973006971
105,0.103428133387765,0.0647258989941383,0.0544075840198383,0.0523453935622901
106,0.105838370495337,0.0637380414239973,0.054624696246866,0.0518180270964178
107,0.102225390904023,0.0653862754881756,0.0552610907275491,0.0526709668189966
108,0.10014197257195,0.0650250970094833,0.0554528879724414,0.0541547528098639
109,0.103836286506583,0.0623459093938558,0.0559106553049622,0.053702955345946
110,0.10054862787584,0.0656379743420664,0.0562744252040444,0.0523767986534984
111,0.101681593201016,0.0632920615632838,0.0562548819939832,0.0557312032806852
112,0.106273782584292,0.0664926542832928,0.0555184715966432,0.0538293967913109
113,0.107922270896518,0.0640840693770871,0.0557389691004447,0.0526998929307358
114,0.102462357590334,0.0649933445713824,0.0552374789722889,0.0535438435899289
115,0.104195123349266,0.0657640556429969,0.0588666752251592,0.0536462886358838
116,0.105157913756797,0.0648407905601848,0.057988566219001,0.054019936784894
117,0.104361332417895,0.0624451313155681,0.0567714153308108,0.0549157395750016
118,0.099495406162239,0.0645422861707348,0.0565367945497058,0.053490848747805
119,0.101385864662381,0.0662064371524276,0.0556500150929767,0.0530529602946473
120,0.101953996389906,0.0633267603514952,0.0552027106216147,0.0540761901569881
121,0.107199327474002,0.0642522672216295,0.0571161654142026,0.0549999821920225
122,0.10224947049597,0.0661113519833546,0.0546184610240047,0.0535130990529436
123,0.106595602722927,0.063716290375214,0.0547795638845046,0.0539812972714577
124,0.0999026130748095,0.0635935505795051,0.0564809672696395,0.0528013314427967
125,0.10869009512268,0.063431852534519,0.0560598773702027,0.0527013795943371
126,0.0996650032925143,0.0633442210169958,0.0559565279164102,0.0534192990790531
127,0.101823298124302,0.0638990490491709,0.0543833976585725,0.0521060577171779
128,0.110550609620572,0.0666261998004356,0.0589164452919511,0.0547103883249538
129,0.104924821964181,0.0645950847563476,0.0547043681271245,0.0515165723744903
130,0.104613983385552,0.0642296507437518,0.0557130716224462,0.0522463908150782
131,0.102410982360481,0.0636931064597208,0.055430906245584,0.0537697394959474
132,0.102826972998655,0.0629474848078725,0.0563579821227672,0.0526539610817451
133,0.10343598791362,0.0639824454173713,0.0546689852178166,0.052635825839318
134,0.102524375496868,0.0652604140014978,0.0574417701822958,0.0545543326347696
135,0.0991670339844087,0.0627449900152829,0.053970056255484,0.0526557188770703
136,0.102468078043016,0.0646639336170129,0.055142611452793,0.0512368209089313
137,0.106771356699362,0.0661642641192438,0.0576852446988698,0.0549450933787613
138,0.104427606882962,0.0648874450411829,0.056235289734463,0.052816591991578
139,0.103817522549704,0.0642305068352641,0.0563787708712516,0.0529862265303876
140,0.109130006636703,0.0647049019636516,0.0557666822400703,0.0541058572413628
141,0.107743244043262,0.0652874021481552,0.0541949749595064,0.0537710854274216
142,0.101494843691436,0.062090490762538,0.0555832356791631,0.0538928648619466
143,0.100219971497434,0.0612446085617997,0.0533925796406612,0.0536408402561729
144,0.0997846770777267,0.063614816284152,0.0546254239428611,0.0532200152227795
145,0.108769649614528,0.0645587210972193,0.0569557663664704,0.0562423563301629
146,0.102093552776279,0.0660679886828075,0.0555535489649389,0.0530352789214232
147,0.106585218621874,0.0643888458516447,0.0551005297451566,0.0522565919666057
148,0.101634699677715,0.0626338432315662,0.0538923456660605,0.0524453790171295
149,0.101557182777116,0.0629305356995873,0.0555520114643028,0.0549421475041188
150,0.100244256907207,0.0622319199242957,0.0529646057482472,0.0531328927435241
151,0.106312500560931,0.0664769224652082,0.0559050779272812,0.0536990538859781
152,0.104817354103682,0.0651973541106649,0.0557309443375179,0.0524172120468024
153,0.106823803591926,0.0648764500453816,0.0578956797106892,0.0532778701168134
154,0.100447529823303,0.0641728613411547,0.0553476345745316,0.0539361691267936
155,0.106807340956518,0.0657435976532572,0.0565594231553451,0.0542968193510317
156,0.0972071492382853,0.0631501695096715,0.0555546429171466,0.0534354451489032
157,0.100714400001858,0.0629753317809222,0.0539167833361851,0.0521230841428798
158,0.107065738467229,0.0650961523790105,0.0565264579317074,0.0539212960556965
159,0.105896028762059,0.066747495794591,0.0575627739935559,0.0550753011623261
160,0.102940566063788,0.0629657774643365,0.0560621774358173,0.0544295182634049
161,0.0996421856187197,0.0640108223221417,0.0563969815634064,0.0532500833405703
162,0.102454540893079,0.0654087101072206,0.0562125406758434,0.0536670139323151
163,0.106857209414936,0.0628875102498144,0.0550739029850669,0.0529102016051767
164,0.0998651843249917,0.0623893055296511,0.0555699810090269,0.0526941685787916
165,0.107725011202118,0.0660717600475346,0.0563715025566696,0.0529486767124769
166,0.10600190823003,0.0645538029461598,0.0570122542344075,0.0526768507132934
167,0.100209524394488,0.0642962181229605,0.0568158747490731,0.052957845655418
168,0.101383536539905,0.0640284558614899,0.0548803715650068,0.0527975405497573
169,0.10094931376986,0.0647806301998376,0.05510533688198,0.0546471551532255
170,0.10085124128207,0.0624850886722247,0.0544863761662218,0.0523451310576122
171,0.105993487117494,0.0648615153487795,0.0559234273463833,0.0528866819556762
172,0.105593793387182,0.0652318038145315,0.056631305459003,0.0521629142229362
173,0.102787704778308,0.0648819724985195,0.0565220875930372,0.0528865998112648
174,0.102078019429865,0.0605880568150063,0.0533022484460095,0.0523886090963873
175,0.108498607823603,0.0671317937317283,0.0572869390069052,0.0544251140549807
176,0.107993585526047,0.0661432536160351,0.0570520349509288,0.0535738319327339
177,0.104265185217713,0.0658521777404151,0.0573252123108931,0.0551234146692902
178,0.104982568500205,0.0650070140153256,0.0569223496638606,0.0523300417009938
179,0.103055433673532,0.0633739696284534,0.0548112573836116,0.054259102102649
180,0.102658013410128,0.0641500489517987,0.0552460527824392,0.0524677556354312
181,0.102259422743881,0.0647345230548379,0.0563209306226753,0.0541476328294195
182,0.106986332383343,0.0655571716208447,0.0565083129161318,0.0542412714769719
183,0.105233136331779,0.0653926316780213,0.0564426985454844,0.0536867064478732
184,0.106059124256197,0.0652508626371871,0.0587888385371189,0.0551442201229331
185,0.101704927292744,0.0644258828866068,0.0550438566074909,0.0532998605713794
186,0.103645801109709,0.0630323163914992,0.0563467836236078,0.0522628737356511
187,0.0998519658433748,0.0618379371818677,0.0546137565103605,0.0526935852919969
188,0.100136711039306,0.0641826644268903,0.0543914653686145,0.0522150315062169
189,0.104468222161347,0.0644583159457566,0.0548986338040256,0.053393290629632
190,0.107367217641974,0.0646496019428216,0.0560169209091294,0.0520931043540382
191,0.105283944953078,0.0665124246653848,0.0558941338468673,0.0522557211767813
192,0.110048540396473,0.0632551608534538,0.0555728120481941,0.0533196084914251
193,0.10838332225894,0.0630624102441582,0.0544570688523443,0.0511404120159716
194,0.099253982900645,0.0611479860245865,0.0522334733224382,0.0520432866286283
195,0.102721713699883,0.0635199323306733,0.0560190535903366,0.0529843498785468
196,0.0973221192722052,0.0625337063539283,0.0547353975727505,0.0516543096358543
197,0.10402370263801,0.0644898195191305,0.0537083316137386,0.0524665096872556
198,0.101397650257564,0.0633362623126889,0.0557784012661352,0.0518746588081598
199,0.101578360117504,0.0646161484534613,0.0558681950276303,0.0536372812149931
200,0.100405315150879,0.0610428300506264,0.0553894629336759,0.0544366164523366
201,0.10716921008174,0.0663202188192324,0.0548662280101745,0.0537294959863204
202,0.105923101882403,0.0645271684020043,0.0550443284855075,0.0544104226839295
203,0.101072109916469,0.0672579229293937,0.0559152389339188,0.0539634634246729
204,0.105720626007349,0.0642929787390199,0.0563445414412843,0.0523926115499751
205,0.0974099557914791,0.0646879741186465,0.0553918890479317,0.0529063623562659
206,0.100757405551748,0.0643082135112609,0.0553361076048156,0.0531911543292185
207,0.106546839184241,0.0637280397202575,0.0556444436801318,0.0532137435270011
208,0.106401213480991,0.0635412488921806,0.0570636425850617,0.0553109828903499
209,0.10483000480187,0.0636391211130825,0.0540379375597965,0.052821277754466
210,0.101325806601916,0.0640126768664016,0.0572385260689309,0.0560666563834799
211,0.102701396565269,0.0654453077109748,0.0559083649156617,0.0534967705247381
212,0.0996565463638095,0.0626055946134464,0.053989746997883,0.0527890076512386
213,0.10349998772985,0.0636818909138503,0.0565465320697003,0.0546559258628637
214,0.109696264479243,0.0676516961358941,0.0580455212075609,0.0532168571236504
215,0.107032628751121,0.064954350044845,0.0546571193105813,0.0528550707308833
216,0.102566446184051,0.0626347467011049,0.0534473702280837,0.0541725228509033
217,0.106534137252459,0.0655637959882838,0.0550939449315183,0.0522176694327311
218,0.104219034692966,0.0637058450253742,0.056383755751855,0.053547532353759
219,0.103177067344123,0.0646239097837927,0.055657842542473,0.0529383635514431
220,0.103686301779536,0.0666252771683283,0.0576677170977746,0.0538211120563078
221,0.10409964787914,0.0652066425630088,0.0555519180594588,0.0536629442882744
222,0.104149842175141,0.0639018452368387,0.0549367259858255,0.051628417369513
223,0.107809391702546,0.0663241648686832,0.0575411085543851,0.0540776899111696
224,0.106739449212441,0.0653162797486435,0.0559694297300195,0.0544487793291878
225,0.101949358877599,0.0632159905324833,0.0538566316680194,0.0542856325952415
226,0.104113410645346,0.0668645462186904,0.0561093151101315,0.0537078903005485
227,0.103910827336044,0.0675142573426906,0.0569715946941687,0.0544196538681237
228,0.10762876888807,0.0633063255384712,0.0550639808651311,0.0543120915936537
229,0.106324976823048,0.0667902445907295,0.0562827029831195,0.05425682928653
230,0.0969796227094332,0.0660832395188664,0.0578874104388432,0.0536381029878896
231,0.0996970102494292,0.0632989983424942,0.0537456058381508,0.0514912858450809
232,0.100383694478694,0.0631887750461257,0.0548654558410566,0.0525491563523513
233,0.106644679309066,0.0664259985170892,0.055282800528266,0.0547758580997735
234,0.103738579979682,0.0643906876001712,0.0549501478550089,0.053332319255652
235,0.100843534636174,0.0648523908552654,0.0551040192360766,0.0533276563192887
236,0.109355051653911,0.0667932079462204,0.0560529746402819,0.0524589629029477
237,0.106093412003837,0.0651584623322103,0.0565126957293525,0.0536993405595411
238,0.107859575577934,0.0663328679797226,0.0562964211021513,0.0535282186034106
239,0.104508082098383,0.0644949470216328,0.0555572895458596,0.0533011535378691
240,0.100764506318506,0.0632200572139328,0.0557912164059304,0.051814710048054
241,0.102109014298872,0.0654109969322896,0.0544591833617613,0.052289285844185
242,0.104299266734194,0.0660386377272594,0.0563637641057884,0.0518250241302073
243,0.100945201742233,0.0633314710365718,0.0583548846384593,0.0541502839082137
244,0.11237785809312,0.0691454830744396,0.0574625521593305,0.0537054679798301
245,0.107608983506251,0.0634114352294939,0.0559552339009998,0.0534283244128131
246,0.10190540048739,0.066369055828878,0.058027586935213,0.0535042305035192
247,0.105515277259927,0.0657627684351466,0.0562608076965218,0.054123441905917
248,0.103089425164832,0.065008291775221,0.0563600430857015,0.0553331428828547
249,0.105677652236242,0.0642289538267657,0.0549525923994438,0.053826805584158
250,0.103820900004606,0.0624179433036499,0.0543946276808969,0.0538274065374371
251,0.100979590967295,0.0622152088737447,0.0560165766721495,0.0533114055082486
252,0.108032774126267,0.068670993411235,0.0578350907726719,0.0557258915657184
253,0.104512649350096,0.066084393109532,0.0564140218141528,0.0536886898506576
254,0.103145813920623,0.0647078314039461,0.0549880961366825,0.0536316912884073
255,0.109984956912212,0.0672849665204503,0.0558167000309933,0.0558629349657269
256,0.101517421294549,0.0617173347656661,0.0555033078997391,0.0528312139366038
257,0.102367983554945,0.0638470597622424,0.0535540990593198,0.0518518695810583
258,0.106610797149472,0.0628634861891098,0.0541509113815298,0.0519250723709612
259,0.103580014229239,0.0651662844171579,0.0554423349733431,0.0524455630930198
260,0.10559675388748,0.065568109161534,0.0556504931212747,0.0518216751185897
261,0.0997432033356793,0.0652702495086743,0.056656622479266,0.0543746250134493
262,0.101097787032952,0.0646328533443653,0.0546959798184396,0.0537160189142552
263,0.100288664969404,0.0646117733104457,0.0570225573128225,0.0550237931837269
264,0.100789023528633,0.0647115628494013,0.0554579655518376,0.0543281679152212
265,0.0999539209193074,0.0623081670864133,0.0551328002796694,0.0534600759892045
266,0.103652973147513,0.063246525327067,0.0563216215512907,0.0566150361238165
267,0.104528060433508,0.0640936283684666,0.0570554756012415,0.05380193553845
268,0.104484391988832,0.0657541650005912,0.057202931382187,0.0523480796267802
269,0.108155136889032,0.0676320628812369,0.0557620836890293,0.0543190429049014
